record_id,region,place,record_type,asset_or_area,owner_or_controller,status,spatial_flexibility,vega_relevance,source_url,notes
GLE-CC-001,Central Coast,Gosford,government_land,University of Newcastle Gosford Central site,Hunter and Central Coast Development Corporation / NSW Government,activated,low,high,https://www.newcastle.edu.au/engage/development-projects/completed-projects/2026/central-coast-campus,"Government land was used to create a new tertiary anchor in Gosford CBD; strong precedent for capital-land coordination."
GLE-CC-002,Central Coast,Ourimbah,education_land,University of Newcastle / TAFE NSW shared Ourimbah site,NSW Government,management_transition,medium,medium,https://www.newcastle.edu.au/news/2025/10/university-of-newcastle-gears-up-for-2026-expansion,"Ourimbah land is NSW Government-owned; university says discussions are underway for TAFE NSW to take over day-to-day management. Track as a live land-use optionality asset."
GLE-CC-003,Central Coast,Somersby/Warnervale/Lake Munmorah,growth_land,urban-capable land identified through strategic conservation planning,NSW planning system,draft_plan,medium,very_high,https://planning.nsw.gov.au/the-planning-system/strategic-conservation-planning/central-coast,"Draft plan is intended to unlock land for about 14,000 homes and 30,000 jobs while pre-resolving biodiversity constraints."
GLE-NE-001,New England,East Tamworth,government_land,16.5 ha vacant government-owned land,Homes NSW / Crown / Council / former TAFE land,rezoning_exhibition,high,high,https://www.planning.nsw.gov.au/news/minns-labor-government-unlocks-land-build-more-than-200-new-homes-east-tamworth,"Potential 213 homes; explicit example of the statewide land audit converting surplus public land into housing near TAFE, schools and services."
GLE-NE-002,New England,Tamworth,education,UNE Tamworth Central campus,UNE / government co-funded,under_construction,low,high,https://www.une.edu.au/about-une/news-and-events/news/2026/03/une-tamworth-central-campus-project-marks-start-of-construction,"New CBD campus is a deliberate education-anchor investment rather than inherited geography."
GLE-ACT-001,Canberra,Woden/Southern Gateway,growth_land,North Woden future development area and Southern Gateway corridor,ACT Government,long_term_framework,medium,very_high,https://www.planning.act.gov.au/planning-projects/southern-gateway-planning-framework,"Long-term framework to 2050+ explicitly combines future residential development with Canberra Hospital, Woden town centre and transport corridor planning."
GLE-ACT-002,Canberra,Canberra-wide,planning_framework,9 district strategies,Territory Planning Authority,statutory_strategy,high,high,https://www.act.gov.au/directorates-and-agencies/city-and-environment-directorate/territory-planning-authority,"District strategies guide growth, services, transport, health and education toward 2038 and beyond 2050 and are reviewed every five years."
GLE-RIV-001,Wagga/Albury,Wagga Wagga,education,TAFE NSW Wagga Wagga,NSW Government,existing,low,medium,https://www.tafensw.edu.au/locations/wagga-wagga,"Largest TAFE campus in Riverina; treat as existing workforce infrastructure."
GLE-RIV-002,Wagga/Albury,Albury,education,TAFE NSW Albury,NSW Government,existing,low,medium,https://www.tafensw.edu.au/locations/albury,"Broad trade and health training capability adds to border-region workforce depth."
GLE-RIV-003,Wagga/Albury,Albury,growth_land,Albury hospital campus redevelopment footprint,NSW Health,committed,low,high,https://www.planningportal.nsw.gov.au/part-5/albury-wodonga-regional-hospital-project-verge-parking-demolition-existing-buildings-and-relocation-services,"Demolition, parking, services relocation and future CSB footprint show increasing site lock-in."
GLE-GIP-001,Gippsland,Latrobe Valley,education,Federation University Gippsland campus,Federation University,existing,medium,high,https://www.federation.edu.au/campaigns/community-aspirations/,"University strategy aims to materially increase locally trained graduates by 2050; useful anchor for workforce-capacity analysis."
GLE-SEQ-001,SEQ,Brisbane/Logan,government_land,Land Activation Program SEQ Tranche 1,Queensland Government / EDQ,provisional_priority_development_area,high,high,https://www.edq.qld.gov.au/projects/lap-seq-t1/,"More than 5,000 homes and mixed-use precincts across government-controlled sites; direct evidence of government land being used to accelerate settlement supply."
GLE-SEQ-002,SEQ,Western sub-region,growth_land,Ripley Valley / Springfield / Rosewood-Thagoona-Walloon growth areas,Queensland planning system,planned_growth,medium,very_high,https://www.planning.qld.gov.au/__data/assets/pdf_file/0024/86145/shapingseq-2023-Low.pdf,"ShapingSEQ identifies these as major expansion areas and ties them to planned service and transport growth."
GLE-SEQ-003,SEQ,Toowoomba/Westbrook/Drayton,growth_land,western growth areas and potential future growth areas,Queensland planning system,planned_or_preserved,high,very_high,https://www.planning.qld.gov.au/__data/assets/pdf_file/0024/86145/shapingseq-2023-Low.pdf,"Important VECA optionality because some land is preserved beyond current housing need rather than required for 2046 targets."
