source_id,title,publisher,source_type,url,horizon_or_date,coverage,authority,vega_use
SRC-GI-NSW-HUNTER-2041,Hunter Regional Plan 2041,NSW Planning,regional_plan,https://planning.nsw.gov.au/plans-in-nsw/plans-by-region/hunter-regional-plan-2041,2041,Hunter NSW,primary,"population/dwelling baseline; sequenced infrastructure intent"
SRC-GI-NSW-CC-2041,Central Coast Regional Plan 2041,NSW Planning,regional_plan,https://planning.nsw.gov.au/plans-in-nsw/plans-by-region/central-coast/central-coast-regional-plan-2041,2041,Central Coast NSW,primary,"growth baseline; infrastructure-first sequencing"
SRC-GI-NSW-CWO-2041,Central West and Orana Regional Plan 2041,NSW Planning,regional_plan,https://www.planning.nsw.gov.au/plans-in-nsw/plans-by-region/central-west-and-orana-regional-plan-2041,2041,Central West and Orana NSW,primary,"population/home baseline; centre hierarchy"
SRC-GI-NSW-RM-2041,Riverina Murray Regional Plan 2041,NSW Planning,regional_plan,https://www.planning.nsw.gov.au/plans-in-nsw/plans-by-region/riverina-murray-regional-plan-2041,2041,Riverina Murray NSW,primary,"regional-city and cross-border functional geography"
SRC-GI-NSW-NENW-2041,New England North West Regional Plan 2041,NSW Planning,regional_plan,https://www.planning.nsw.gov.au/plans-in-nsw/plans-by-region/new-england-north-west-regional-plan-2041,2041,New England North West NSW,primary,"growth-land direction and implementation"
SRC-GI-QLD-SEQ-2023,ShapingSEQ 2023,Queensland Planning,regional_plan,https://www.planning.qld.gov.au/planning-framework/plan-making/regional-planning/south-east-queensland-regional-plan/south-east-queensland-regional-plan,2046,SEQ incl Toowoomba urban extent,primary,"population/dwelling targets; consolidation ratio; PFGAs; development areas"
SRC-GI-VIC-PFV,Plan for Victoria,Victorian Planning,statewide_plan,https://www.planning.vic.gov.au/planforvictoria,2050/2051,Victoria,primary,"statewide spatial intent; regionalisation and infrastructure alignment"
SRC-GI-VIC-HOUSING,Victorian housing targets,Victorian Planning,statutory_target_framework,https://www.planning.vic.gov.au/planforvictoria/housing-for-all-victorians/housing-targets,2051,Victoria,primary,"LGA targets; future zoning and service-business-case influence"
SRC-GI-NSW-HPC,Housing and Productivity Contribution,NSW Planning,infrastructure_funding_policy,https://www.planning.nsw.gov.au/policy-and-legislation/infrastructure/infrastructure-funding-policies/housing-and-productivity-contribution,current,"Greater Sydney Central Coast Lower Hunter Greater Newcastle Illawarra-Shoalhaven",primary,"growth-triggered schools hospitals transport/open-space funding"
SRC-GI-NSW-CC-SCP,Central Coast Strategic Conservation Plan,NSW Planning,draft_strategic_plan,https://www.planning.nsw.gov.au/the-planning-system/strategic-conservation-planning/central-coast,~30 years,Central Coast NSW,primary,"urban-capable land and biodiversity preclearance"
SRC-GI-QLD-HRP,Hospital Rescue Plan,Queensland Health,health_capital_program,https://www.plan.health.qld.gov.au/hospital-rescue-plan,to 2032,Queensland,primary,"hospital new-build/expansion pipeline and maintenance backlog"
SRC-GI-NSW-REGHEALTH,NSW Regional Health Strategic Plan 2022-2032,NSW Health,health_strategy,https://www.health.nsw.gov.au/regional/Pages/strategic-plan.aspx,2032,regional NSW,primary,"regional service framework and future service priorities"
SRC-GI-VIC-HEALTH2037,Statewide design service and infrastructure plan 2017-2037,Victorian Health,health_strategy,https://www.health.vic.gov.au/publications/statewide-design-service-and-infrastructure-plan-for-victorias-health-system-2017-2037,2037,Victoria,primary,"health service/workforce/infrastructure investment framework"
SRC-GI-VIC-HSP,Health Services Plan reform,Victorian Health,health_system_reform,https://www.health.vic.gov.au/healthcare-reform/health-services-plan,current,Victoria,primary,"Local Health Service Networks; site-role reform"
SRC-GI-VIC-RDF,Victorian Role Delineation Framework,Victorian Health,health_service_framework,https://www.health.vic.gov.au/health-services-plan-reform/role-delineation-framework,current,Victoria,primary,"site capability/role allocation"
SRC-GI-NSW-JHH-2026,John Hunter Health and Innovation Precinct milestone,NSW Health,project_update,https://www.health.nsw.gov.au/news/Pages/20260702_00.aspx,2026,Hunter NSW,primary,"tertiary-health site lock-in and capacity"
SRC-GI-NSW-AWRH-2023,Albury Wodonga Regional Hospital master plan,NSW Health,masterplan,https://www.health.nsw.gov.au/news/Pages/20231016_00.aspx,coming decades,Albury-Wodonga,primary,"cross-border consolidation; future expansion zones"
SRC-GI-VIC-LATROBE,Latrobe Regional Hospital Stage 3A,VHBA,project_masterplan_stage,https://www.vhba.vic.gov.au/health/regional-facilities/latrobe-regional-hospital-expansion-stage-3a,current/Gippsland masterplan,Gippsland VIC,primary,"multi-stage regional health capital"
