project_id,name,state_or_territory,region,sector,status,ownership,reported_value_aud,value_scope,completion_or_opening,source_id,evidence_note
INF-QLD-CRR,Cross River Rail,QLD,"Brisbane / SEQ",passenger_rail,under_construction,public,19041000000,"Total cost to complete and associated works announced Oct 2025",2029,SRC-QLD-CRR-2026,"10.2 km rail line including 5.9 km twin tunnels; first passenger services expected 2029."
INF-QLD-LGFR,Logan and Gold Coast Faster Rail,QLD,"Kuraby–Beenleigh / SEQ",passenger_rail,under_construction,public,5750000000,"Total joint Australian/Queensland government investment",,SRC-QLD-LGFR-2026,"Site establishment and constituent works underway in 2026; major rail construction ramps up later 2026."
INF-QLD-WAVE1,"The Wave Stage 1 — Beerwah to Caloundra",QLD,"Sunshine Coast",passenger_rail,funded_committed,public,5500000000,"Committed Australian/Queensland funding for Stage 1 only",,SRC-QLD-WAVE-2026,"19 km dual-track rail extension. Do not include unfunded/less mature later stages in this value."
INF-QLD-COOMERA1,Coomera Connector Stage 1,QLD,"Coomera–Nerang / Gold Coast",road,under_construction,public,3500000000,"Stage 1 total joint government investment",,SRC-QLD-COOMERA-2026,"Stage 1 North opened Dec 2025; Central and South packages remain under construction."
INF-AUS-INLAND-SOUTH,"Inland Rail — Beveridge to Parkes priority delivery",VIC/NSW,"Melbourne fringe through regional Victoria and NSW to Parkes",freight_rail,under_construction,public,,,"Delivery staged",SRC-INLAND-PROGRESS-2026,"Parkes–Narromine and Narrabri–North Star Phase 1 complete; Beveridge–Parkes prioritised; corridor north of Parkes being preserved."
INF-NSW-METROWEST,Sydney Metro West,NSW,"Westmead–Parramatta–Sydney",passenger_rail,under_construction,public,11500000000,"Combined value of four signed delivery contracts only; not total project cost",,"SRC-NSW-METROWEST-2026","Tunnelling completed in 2026 and tracklaying/fit-out moving into next phase; value must not be mistaken for whole-project cost."
INF-NSW-WHT,Western Harbour Tunnel,NSW,"Rozelle–North Sydney",road,under_construction,public,7400000000,"Estimated total cost in NSW 2026-27 Infrastructure Statement",,SRC-NSW-WHT-2026,"6.5 km twin motorway tunnel; 2026 TBM excavation includes final 1.5 km harbour section."
INF-NSW-COFFS,Coffs Harbour Bypass,NSW,"Coffs Harbour / Pacific Highway",road,under_construction,public,2270000000,"Joint government investment",,SRC-NSW-COFFS-2026,"14 km bypass; removes 12 traffic lights from through journey and forms part of continuous Sydney–Brisbane motorway corridor."
INF-NSW-M1RT,"M1 Pacific Motorway extension to Raymond Terrace / Hexham program",NSW,"Hunter / Newcastle–Raymond Terrace",road,under_construction,public,2238000000,"Reported Australian + NSW government commitment for M1 extension and Hexham Straight widening program",2026,SRC-NSW-M1RT-2026,"Hexham Straight widening opened Feb 2026; M1 extension delivery continues toward 2026 opening."
INF-NSW-CWO-TRANS,"Central-West Orana REZ Transmission Project",NSW,"Central-West Orana",electricity_transmission,under_construction,public,,,2028,SRC-NSW-CWO-2026,"Construction started June 2025; energisation expected from 2028."
INF-NSW-HUMELINK,HumeLink,NSW,"Riverina / Southern Tablelands",electricity_transmission,under_construction,mixed,4890000000,"Project value at final investment decision reported Dec 2024",2027,SRC-NSW-HUMELINK-2026,"About 365 km of new 500 kV transmission connecting Wagga Wagga, Bannaby and Maragle; main construction in progress."
INF-VIC-METROTUNNEL,Metro Tunnel,VIC,Melbourne,passenger_rail,completed,public,13480000000,"Project cost reported by Victoria's Big Build",2025-11-30,SRC-VIC-METROTUNNEL-2026,"Opened 30 November 2025; recent completed investment retained in EXP-001 capital-history layer."
INF-VIC-NEL,North East Link,VIC,"Melbourne north-east",road,under_construction,public,,,2028,SRC-VIC-NEL-2026,"Tunnel excavation completed July 2026; fit-out and connecting road works continue toward 2028 opening."
