project_id,project_name,jurisdiction,status_class,in_service_timing,full_capacity_timing,vega_relevance,source_id,notes
EN-TR-001,HumeLink,NSW,committed_anticipated,2027-12,,high,SRC-AEMO-ISP-2026,"365 km 500 kV NSW backbone; separate project source holds cost/status detail."
EN-TR-002,Hunter-Central Coast REZ Network Infrastructure Project,NSW,committed_anticipated,2028-07,,high,SRC-AEMO-ISP-2026,"Connects Hunter-Central Coast REZ development to wider NSW system."
EN-TR-003,Central-West Orana REZ Network Infrastructure Project,NSW,committed_anticipated,2028-12,,high,SRC-AEMO-ISP-2026,"Initial operating transfer capability 4.5 GW; access-scheme transfer determination 6 GW; generation/storage connection cap 7.7 GW. Keep concepts distinct."
EN-TR-004,Western Renewables Link,VIC,committed_anticipated,2029-11,,high,SRC-AEMO-ISP-2026,"Major western Victorian renewable/transmission reinforcement."
EN-TR-005,CopperString,QLD,committed_anticipated,2032,,medium,SRC-AEMO-ISP-2026,"Outside core Brisbane-Melbourne corridor but nationally material Queensland grid expansion; retain for system context."
EN-TR-006,New England REZ Network Infrastructure Project,NSW,committed_anticipated,2034-01,,very_high,SRC-AEMO-ISP-2026,"New England is a VECA candidate research region; EnergyCo describes initial 6 GW across two stages with potential 8 GW by 2034."
EN-TR-007,Sydney Ring North (Hunter Transmission Project),NSW,actionable_confirmed,2029-11,2029-11,high,SRC-AEMO-ISP-2026,"Important Hunter-to-Sydney transfer augmentation."
EN-TR-008,Sydney Ring South,NSW,actionable_confirmed,2030-07,2033-07,high,SRC-AEMO-ISP-2026,"Power-flow control first; 500 kV assets later."
EN-TR-009,VNI West,NSW/VIC,actionable_confirmed,2029-08,2031-11,very_high,SRC-AEMO-ISP-2026,"South West REZ component then NSW-Victoria interconnection; timing is staged."
EN-TR-010,Western Victoria Reinforcement,VIC,newly_actionable,,,high,SRC-AEMO-ISP-2026,"Newly actionable in 2026 ISP; do not represent as committed construction."
EN-TR-011,Central to North Queensland Reinforcement Stage 1,QLD,newly_actionable,,,medium,SRC-AEMO-ISP-2026,"Newly actionable; smaller option than 2024 ISP Queensland SuperGrid North concept."
EN-TR-012,Brisbane Area 275 kV Reinforcement,QLD,newly_actionable,,,very_high,SRC-AEMO-ISP-2026,"Directly relevant to SEQ inherited capacity; AEMO non-network-options consultation current Sep 2026."
EN-TR-013,Central-West Orana REZ Expansion,NSW,newly_actionable,,,high,SRC-AEMO-ISP-2026,"Expansion beyond committed initial network; preserve separate status."
EN-TR-014,QNI Connect,QLD/NSW,future_isp_project,,,very_high,SRC-AEMO-ISP-2026,"Future Queensland-New South Wales interconnector project; potentially major VECA system effect but not committed."
EN-TR-015,South West to South East Queensland Reinforcement,QLD,future_isp_project,,,high,SRC-AEMO-ISP-2026,"Future ISP project; relevant to Darling Downs/SEQ energy geography."
EN-TR-016,Eastern Victoria Reinforcement,VIC,future_isp_project,,,medium,SRC-AEMO-ISP-2026,"Future ISP project."
EN-TR-017,South West Victoria Expansion,VIC,future_isp_project,,,medium,SRC-AEMO-ISP-2026,"Future ISP project."
