asset_id,region,asset_name,asset_type,jurisdiction,current_role,status,reported_value_aud,spatial_lock_in,optionality_class,veca_interpretation,source_url
GA-CC-001,Central Coast,Wyong Hospital,health,NSW,Major hospital serving northern Central Coast,recently_completed,200000000,high,fixed_inheritance,"Recent redevelopment strongly reinforces Wyong as a durable northern Central Coast health node.",https://www.nsw.gov.au/ministerial-releases/200-million-wyong-hospital-redevelopment-now-complete
GA-CC-002,Central Coast,Gosford Hospital + University of Newcastle Gosford health/education precinct,health_education,NSW,Regional tertiary health and clinical education cluster,existing_plus_recent,,,fixed_inheritance,"Hospital, clinical school and university presence make Gosford a deliberately reinforced knowledge/health centre rather than a generic town centre.",https://www.newcastle.edu.au/campus-life/central-coast/gosford
GA-CC-003,Central Coast,University of Newcastle Gosford Central,university,NSW,New CBD tertiary education anchor,recently_completed,67300000,high,fixed_inheritance,"New university investment on NSW Government land adds durable CBD knowledge gravity and shows government land can be used to manufacture a regional anchor.",https://www.newcastle.edu.au/engage/development-projects/completed-projects/2026/central-coast-campus
GA-CC-004,Central Coast,TAFE NSW Gosford/Ourimbah/Wyong,tafe,NSW,Regional vocational training network,committed,38300000,medium,planned_capital,"Multi-campus upgrades align skills infrastructure with regional growth sectors and reinforce the existing three-node Central Coast pattern.",https://www.nsw.gov.au/ministerial-releases/383-million-investment-to-future-proof-tafe-nsw-skills-training-on-central-coast
GA-NE-001,New England,University of New England Armidale,university,NSW,Regional university and higher-education anchor,existing,,,fixed_inheritance,"UNE is one of Armidale's defining institutions and a major reason the regional plan describes Armidale as the higher-education heart of New England.",https://www.planning.nsw.gov.au/sites/default/files/2023-03/new-england-north-west-regional-plan-2041.pdf
GA-NE-002,New England,UNE Tamworth Central,university,NSW,New CBD university campus,under_construction,26600000,high,committed_capital,"A new central-city university campus increases Tamworth's service and knowledge gravity and demonstrates deliberate redistribution of tertiary education within the region.",https://www.une.edu.au/about-une/news-and-events/news/2026/03/une-tamworth-central-campus-project-marks-start-of-construction
GA-NE-003,New England,Moree Hospital redevelopment,health,NSW,Regional hospital redevelopment,under_construction,105000000,high,committed_capital,"Reinforces Moree as a service centre in parallel with Special Activation Precinct investment.",https://www.nsw.gov.au/business-and-economy/nsw-budget/2026-27-budget-papers/regional-nsw/new-england-and-northwest
GA-NE-004,New England,Gunnedah Hospital redevelopment,health,NSW,Regional hospital redevelopment,committed,53000000,high,committed_capital,"Incremental strengthening of the existing service hierarchy rather than spatially flexible capital.",https://www.nsw.gov.au/business-and-economy/nsw-budget/2026-27-budget-papers/regional-nsw/new-england-and-northwest
GA-ACT-001,Canberra,Northside Hospital / North Canberra Hospital campus,health,ACT,Future major northside hospital,committed,,,committed_capital,"Largest ACT health-infrastructure investment and a major future service anchor; site choice is now effectively fixed on the existing North Canberra campus.",https://www.act.gov.au/our-canberra/latest-news/2026/june/202627-act-budget-investing-in-a-new-northside-hospital
GA-ACT-002,Canberra,Canberra Hospital / Woden health precinct,health,ACT,Major tertiary health campus and southern service anchor,existing,,,fixed_inheritance,"The Southern Gateway framework treats Canberra Hospital and Woden as a long-term integrated precinct to 2050 and beyond.",https://www.planning.act.gov.au/planning-projects/southern-gateway-planning-framework
GA-RIV-001,Wagga/Albury,Wagga Wagga Health Service,health,NSW,Major regional referral hospital,recently_completed,,,fixed_inheritance,"Major redevelopment completed in 2021; this is now sunk regional service gravity rather than movable future capital.",https://www.nsw.gov.au/departments-and-agencies/nsw-health/service-directory/wagga-wagga-health-service
GA-RIV-002,Wagga/Albury,Albury Wodonga Regional Hospital - Albury campus,health,NSW/VIC,Cross-border regional health hub,under_construction,558000000,high,committed_capital,"Current project consolidates complex care at Albury; capital is increasingly locked despite continuing local-government advocacy for a new single-site hospital.",https://www.nsw.gov.au/health-and-wellbeing/health-infrastructure-projects/albury-wodonga-regional-hospital-project
GA-RIV-003,Wagga/Albury,Wodonga Hospital campus,health,VIC,Cross-border secondary/non-emergency future health hub,service_reconfiguration,,,service_role_optionality,"Government plans preserve the site while shifting complex care toward Albury, making this a strong example of service-role optionality without full site relocation.",https://www.nsw.gov.au/media-releases/first-look-at-new-albury-wodonga-regional-hospital-project
GA-RIV-004,Wagga/Albury,TAFE NSW Wagga Wagga,tafe,NSW,Major Riverina vocational education hub,existing,,,fixed_inheritance,"Largest TAFE campus in the Riverina; supports trades, nursing, community services and other workforce functions.",https://www.tafensw.edu.au/locations/wagga-wagga
GA-RIV-005,Wagga/Albury,TAFE NSW Albury,tafe,NSW,Border-region vocational education hub,existing,,,fixed_inheritance,"Purpose-built trade and health-training facilities add to Albury-Wodonga's labour-market depth.",https://www.tafensw.edu.au/locations/albury
GA-GIP-001,Gippsland,Latrobe Regional Hospital,health,VIC,Major tertiary regional hospital,existing_plus_recent,223500000,high,fixed_inheritance,"Repeated expansion reinforces Traralgon/Latrobe as the dominant Gippsland health-service node.",https://www.vhba.vic.gov.au/health/regional-facilities/latrobe-regional-hospital-expansion-stage-3a
