source_id,title,publisher,publication_date,source_type,status,geography,url,claim_scope,limitations,validation_notes
TRANSPORT-HSRA-N2S-PROJECT,"Newcastle to Sydney","High Speed Rail Authority","2026-current","government_intent","relevant","Newcastle-Sydney/WSI NSW","https://www.hsra.gov.au/newcastle-to-sydney","Current public project definition; proposed station regions; target speed/journey times; Development Phase status","Public summary uses broad station-region labels and is not a detailed alignment or approval document","Primary HSRA source; preserve wording 'proposed' for stations"
TRANSPORT-HSRA-N2S-LIBRARY,"HSRA Library","High Speed Rail Authority","2026-current","government_intent","Australia / Newcastle-Sydney","https://www.hsra.gov.au/library","Official index for current public HSRA business case, overview and environmental material","Index does not itself prove content-level claims","Primary official inventory lead; use individual documents for critical claims"
TRANSPORT-HSRA-N2S-BUSINESS-CASE,"High Speed Rail Newcastle to Sydney Business Case","High Speed Rail Authority","2026-02 (submitted 2024-12-16)","government_intent","Newcastle-Sydney-WSI NSW","https://www.hsra.gov.au/library","Preferred project/staging, options analysis, costs, benefits, demand, delivery and environmental assumptions","Large redacted public PDF; detailed page-level extraction remains a follow-on task; assumptions are not approvals or observed outcomes","Primary HSRA business case; cross-check decision-critical maturity/economic claims with Infrastructure Australia evaluation"
TRANSPORT-IA-N2S-EVALUATION-2025,"IA Stage 3 Evaluation Report: HSR Sydney-Newcastle","Infrastructure Australia","2025-07-23","government_intent","Newcastle-Sydney-WSI NSW","https://www.infrastructureaustralia.gov.au/ipl/high-speed-rail-newcastle-sydney","Independent Commonwealth evaluation of HSRA business case; design maturity, risks, staging, BCR and required next steps","Evaluation predates 2026 Development Phase procurement and must be paired with current HSRA evidence","Primary independent government evaluation; strongest source for ~10-15% design maturity and requirement to update business case after Development Phase"
TRANSPORT-HSRA-N2S-INDUSTRY-UPDATE-2026,"Industry update - May 2026","High Speed Rail Authority","2026-05","government_intent","Newcastle-Sydney NSW","https://www.hsra.gov.au/industry-update","Development Phase procurement structure; AP1 and TSSI scope; purpose of ECI; future investment decision","Summary page does not expose every future Area Package boundary/detail","Primary HSRA evidence that ECI includes optimising/finalising alignment and that no major construction contract is awarded before government decision"
TRANSPORT-DITRDCSA-HSRA-PBS-2026-27,"2026-27 Portfolio Budget Statements - High Speed Rail Authority","Australian Government Department of Infrastructure","2026-05","government_intent","Newcastle-Sydney-WSI NSW","https://www.infrastructure.gov.au/sites/default/files/documents/2026-27-pbs-hsra-chapter-12-pdf.pdf","Development Phase funding, approval/EIS/property/corridor milestones and 2028 completion targets","Forward performance targets are plans, not guaranteed dates or approvals","Primary budget/performance document; use to distinguish funded development from funded construction"
TRANSPORT-AUSGOV-N2S-DEVELOPMENT-2026,"Newcastle to Sydney in 1 hour - Albanese Government lays foundation for high-speed rail in Australia","Australian Government / Minister for Infrastructure","2026-02-24","government_intent","Newcastle-Sydney NSW","https://minister.infrastructure.gov.au/c-king/media-release/newcastle-sydney-1-hour-albanese-government-lays-foundation-high-speed-rail-australia","$659.6m Development Phase, construction-ready objective, future investment decision","Ministerial announcement is policy/program evidence; benefit figures derive from business-case modelling","Primary government status source; wording explicitly says future Government investment decision after scope/cost/risk refinement"
TRANSPORT-AUSGOV-N2S-SEVEN-TENDERS-2026,"Seven major tenders issued for High Speed Rail","Australian Government / Minister for Infrastructure","2026-02","government_intent","Newcastle-Sydney NSW","https://minister.infrastructure.gov.au/c-king/media-release/seven-major-tenders-issued-high-speed-rail","Seven Development Phase advisory tender families and their role in approvals/corridor protection/design","Tender release does not by itself establish subsequent contract award status","Primary government procurement-stage evidence"
TRANSPORT-AUSGOV-N2S-AP1-ECI-2026,"Tunnellers' visions to shape Australia's High-Speed Rail","Australian Government / Minister for Infrastructure","2026-08-17","government_intent","Berowra-Ourimbah NSW","https://minister.infrastructure.gov.au/c-king/media-release/tunnellers-visions-shape-australias-high-speed-rail","Three AP1 ECI consortia; Berowra-Ourimbah ~35km twin tunnel scope","Shortlist/ECI participation is not a major construction contract award","Primary current procurement evidence; exact consortium names confirmed"
TRANSPORT-AUSGOV-N2S-TSSI-ECI-2026,"High-tech trains ahead for High Speed Rail","Australian Government / Minister for Infrastructure","2026-08-19","government_intent","Newcastle-Sydney NSW","https://minister.infrastructure.gov.au/c-king/media-release/high-tech-trains-ahead-high-speed-rail","Three TSSI ECI proponents; mature/proven train systems adapted to Australia","Shortlist/ECI participation is not final supplier selection or construction award","Primary current procurement evidence; exact proponent names confirmed"
TRANSPORT-HSRA-N2S-GEOTECH-2024,"Newcastle-Sydney HSR geotechnical/environmental investigation material","High Speed Rail Authority","2024","government_intent","Newcastle-Sydney NSW","https://www.hsra.gov.au/library","Early geotechnical and environmental investigation evidence supporting business case/design","Investigation works do not constitute approval or final corridor selection","Primary HSRA background; detailed borehole/result extraction remains follow-on"
TRANSPORT-IA-HSR-FOI-2025,"Infrastructure Australia FOI disclosure log - HSR business case review records","Infrastructure Australia","2025","government_intent","Newcastle-Sydney NSW","https://www.infrastructureaustralia.gov.au/freedom-information-disclosure-log","Released correspondence/review material relating to IA assessment of HSRA business case","FOI releases require document-by-document review before individual claims are promoted","Primary discovery source; not yet exhaustively ingested"
TRANSPORT-NEWCASTLE-HSR-STATION-ADVOCACY-2024,"Lord Mayoral Minute - Newcastle's High-Speed Rail Station Location","City of Newcastle","2024-03-26","government_intent","Greater Newcastle NSW","https://www.newcastle.nsw.gov.au/getattachment/457ec143-232c-401e-b20e-69f1d12887a8/Item-7-4-LMM-High-Speed-Rail-Station-Location.pdf","Local-government advocacy for Broadmeadow and evidence of stakeholder influence during business-case development","Council preference is not an HSRA decision","Primary local-government stakeholder source; use only as advocacy/history, not project-authority evidence"
TRANSPORT-CENTRALCOAST-HSR-ADVOCACY-2026,"Newcastle to Sydney High Speed Rail","Central Coast Council","2026-02-24","government_intent","Central Coast NSW","https://www.centralcoast.nsw.gov.au/council/mayor/newcastle-sydney-high-speed-rail","Local-government support/advocacy and interpretation of proposed station network","Council statement is not an HSRA design/approval instrument","Primary stakeholder source; useful for regional advocacy, not final station-site proof"
