signal_id,operator,asset_name,asset_type,state,region,signal_type,status_at_source,capacity_mva,capacity_detail,timing,veka_interpretation,source_id,source_url,source_date,notes
DNSP-EE-NORTH-BRADFIELD,Endeavour Energy,North Bradfield Zone Substation,zone_substation,NSW,Western Sydney Aerotropolis,new_capacity,proposed_determined,90,"2 x 45 MVA transformers; 2 x 132 kV supplies; 22 kV distribution works",source project assessment 2023; later DPAR/REF active,"Major deliberate enabling capacity for Bradfield/Aerotropolis growth; should be treated as growth-creating infrastructure rather than inherited spare capacity.",ENERGY-ENDEAVOUR-DAPR-2025,https://www.endeavourenergy.com.au/Community/Works-in-your-area/North-Bradfield-zone-substation,2025,"Status must be refreshed against commissioning/construction evidence before being labelled operational."
DNSP-EE-BADGERYS-CREEK,Endeavour Energy,Badgerys Creek Zone Substation,zone_substation,NSW,Western Sydney Aerotropolis,new_capacity,published_project_assessment,90,"2 x 45 MVA transformers; 2 x 132 kV supplies; 22 kV distribution works",project assessment published Dec 2023,"Capacity specifically tied to enterprise/business-park and water-recycling precinct growth; evidence of infrastructure preceding full settlement/economic buildout.",ENERGY-ENDEAVOUR-DAPR-2025,https://dapr.endeavourenergy.com.au/endeavour_data/DAPR%202023%20-%20V1.42%28Final%29.pdf,2023,"Retain as planning evidence until current delivery status is independently refreshed."
DNSP-EE-WSA-TS,Endeavour Energy,Western Sydney Airport Transmission Substation,transmission_substation,NSW,Western Sydney Airport,new_capacity,commissioned,,"132 kV digital transmission substation; designed to scale with airport expansion",commissioned by 2026,"Large scalable upstream supply created for a new economic node; strong Capital Gravity and future-capacity evidence.",ENERGY-ENDEAVOUR-DAPR-2025,https://www.endeavourenergy.com.au/about-us/newsroom/first-stage-of-power-for-western-sydney-aerotropolis,2026-03,"Do not equate upstream scalability with unlimited downstream customer connections."
DNSP-EE-WSA-ZS,Endeavour Energy,Western Sydney Airport Zone Substation,zone_substation,NSW,Western Sydney Airport,new_capacity,under_construction,,"Supplies Burra Park logistics/industrial hub, Agribusiness North, Science Park and surrounding growth",expected commissioning June 2026,"Direct enabling distribution asset for logistics, advanced industry and data-driven uses around the airport.",ENERGY-ENDEAVOUR-DAPR-2025,https://www.endeavourenergy.com.au/about-us/newsroom/first-stage-of-power-for-western-sydney-aerotropolis,2026-03,"Source gave June 2026 expected commissioning; operational status requires post-June verification."
DNSP-EE-AEROTROPOLIS-BACKBONE,Endeavour Energy,Aerotropolis 132 kV Feeder Network,subtransmission_feeder,NSW,Western Sydney Aerotropolis,new_backbone,under_construction,,"Approximately 30 km underground 132 kV backbone through Bringelly, Luddenham, Orchard Hills, Kemps Creek, Badgerys Creek and South Erskine Park","Stage 1 mid-2027; Stage 2 mid-2028","Creates a scalable sub-transmission spine through multiple future growth precincts; high option-preservation value.",ENERGY-ENDEAVOUR-DAPR-2025,https://www.endeavourenergy.com.au/about-us/newsroom/first-stage-of-power-for-western-sydney-aerotropolis,2026-03,"Stage 2 links to Transgrid Sydney West BSP and North Leppington ZS; timing should be refreshed annually."
DNSP-EE-BERRIMA-JUNCTION,Endeavour Energy,Berrima Junction Zone Substation,zone_substation,NSW,Southern Highlands,new_capacity,approved_project,35,"New permanent 33/11 kV 35 MVA zone substation; new 33 kV feeder and associated fibre",current project page,"Important regional-industry signal: new network capacity is justified by enterprise growth including a data centre, not only residential demand.",ENERGY-ENDEAVOUR-DAPR-2025,https://www.endeavourenergy.com.au/community/works-in-your-area/berrima-junction-zone-substation,2026,"Fibre is part of associated works, creating a useful power+digital coupling signal."
DNSP-AUSNET-CLYDE-NORTH,AusNet,Clyde North Zone Substation,zone_substation,VIC,South-east Melbourne / Casey,capacity_augmentation,planned_at_source,20,"Third 20/33 MVA transformer and third 22 kV switchboard",planned by end Dec 2025,"Peri-urban growth is already forcing substation augmentation; useful counterfactual for the cost of continued metropolitan-fringe growth.",ENERGY-AUSNET-DAPR-2025,https://dapr.ausnetservices.com.au/AusNet%20Services_DAPR%202025-2029_v2.pdf,2025,"Capacity value records added transformer rating, not total station capacity. Current completion status requires refresh."
DNSP-AUSNET-WOLLERT,AusNet,Wollert new Zone Substation,zone_substation,VIC,North Melbourne growth corridor,new_capacity,planned_at_source,,"New zone substation proposed to relieve Doreen, Epping and South Morang substations",five-year DAPR horizon,"Strong example of residential growth creating new distribution capital requirements in a metropolitan growth corridor.",ENERGY-AUSNET-DAPR-2025,https://dapr.ausnetservices.com.au/AusNet%20Services_DAPR%202025-2029_v2.pdf,2025,"No capacity MVA should be inferred until directly published."
DNSP-AUSNET-PAKENHAM-SOUTH,AusNet,Pakenham South new Zone Substation,zone_substation,VIC,Pakenham South,new_capacity,planned_at_source,,"New zone substation proposed to mitigate constraints at Officer and Pakenham",five-year DAPR horizon,"Industrial development forecast is creating a new electricity-network node; relevant to comparative serviced-land economics.",ENERGY-AUSNET-DAPR-2025,https://dapr.ausnetservices.com.au/AusNet%20Services_DAPR%202025-2029_v2.pdf,2025,"Planning signal, not proof of current spare capacity."
DNSP-AUSNET-WONTHAGGI,AusNet,Wonthaggi Zone Substation,zone_substation,VIC,Gippsland / Bass Coast,capacity_augmentation,required_at_source,,"Existing three 13.5 MVA 66/22 kV transformers; augmentation required after REFCL bus separation",required by 2027,"Regional coastal growth/technical compliance creates near-term augmentation need; important when assessing inherited headroom in Gippsland/Bass Coast.",ENERGY-AUSNET-DAPR-2025,https://dapr.ausnetservices.com.au/AusNet%20Services_DAPR%202025-2029_v2.pdf,2025,"Do not sum transformer ratings as firm N-1 capacity without network criteria."
