study_id,study_year,study_name,study_scope,evidence_type,metric,value,unit,price_year,source_url,notes
HSR-1991,1991,Very Fast Train proposal/evidence lineage,East-coast/intercapital,historical_lineage,study_generation,1,generation,,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Appendix_Group_1_Travel_Markets.pdf,"Referenced by later Commonwealth HSR demand work; retain as prior-study lineage, not current evidence authority."
HSR-1999,1999,Speedrail proposal/evidence lineage,Sydney-Canberra,historical_lineage,study_generation,1,generation,,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Appendix_Group_1_Travel_Markets.pdf,"Referenced by later Commonwealth HSR demand work; useful for historical demand/station assumptions."
HSR-2001,2001,East Coast Very High Speed Train Scoping Study,Brisbane-Sydney-Canberra-Melbourne,study_scope,national_interest_scope,1,study,,https://www.infrastructure.gov.au/media-centre/publications/east-coast-very-high-speed-train-scoping-study-stage-1-preliminary-study-final-report,"Commonwealth study explicitly examined corridors, technology, demand, regional development, financing, capital/operating costs and national-interest economics."
HSR-2011,2011,High Speed Rail Study Phase 1,Brisbane-Sydney-Canberra-Melbourne,cost,network_risk_adjusted_low,61,AUD_billion,2011,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase1_Report_Executive_summary.pdf,"Phase 1 range; excludes client planning/procurement management costs and operating costs."
HSR-2011,2011,High Speed Rail Study Phase 1,Brisbane-Sydney-Canberra-Melbourne,cost,network_risk_adjusted_high,108,AUD_billion,2011,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase1_Report_Executive_summary.pdf,"Phase 1 range."
HSR-2011,2011,High Speed Rail Study Phase 1,Brisbane-Sydney-Canberra-Melbourne,corridor_preservation,land_cost,6,AUD_billion,2011,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase1_Report_Executive_summary.pdf,"Study states short-term acquisition/preservation could reduce future costs by avoiding additional tunnels as urban areas grow and corridors become unavailable."
HSR-2011,2011,High Speed Rail Study Phase 1,Sydney,station_options,shortlisted_station_count,4,stations,,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase1_Report_Executive_summary.pdf,"Central, Eveleigh, Homebush and Parramatta shortlisted; useful as evidence of prior access/catchment testing, not VECA preference."
HSR-2013,2013,High Speed Rail Study Phase 2,Full east-coast system,cost,total_network,114,AUD_billion,2012,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"Risk-adjusted preferred system estimate."
HSR-2013,2013,High Speed Rail Study Phase 2,Full east-coast system,engineering,built_track,1748,km,,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"Includes spur junctions and connections."
HSR-2013,2013,High Speed Rail Study Phase 2,Sydney-Canberra,cost,stage_cost,23.0,AUD_billion,2012,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"283 km built track; reported $81m/km."
