compute_id,operator,campus_or_site,locality,state,record_type,status_at_source,capacity_mw,capacity_definition,site_area_ha,power_feed,timing_or_stage,veka_interpretation,source_id,source_url,source_date,notes
DC-NXT-S1,NEXTDC,S1,Macquarie Park,NSW,campus,operational_portfolio,16,total_power_capacity,,unknown,operational,"Established metro compute node; baseline rather than new regional option.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/data-centres/brisbane-data-centres-colocation,2026-09,
DC-NXT-S2,NEXTDC,S2,Macquarie Park,NSW,campus,operational_portfolio,30,total_power_capacity,,unknown,operational,"Established metro compute node.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/data-centres/brisbane-data-centres-colocation,2026-09,
DC-NXT-S3,NEXTDC,S3,Artarmon,NSW,campus,operational_expanding,80,total_power_capacity,,unknown,"20MW additional capacity in progress at 31 Dec 2025","Large established north-Sydney node with continuing fitout.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-NXT-S4,NEXTDC,S4,Horsley Park,NSW,campus,development_approved,365,current_published_total_power_capacity,12.4,unknown,"development approval obtained; current portfolio page shows 365MW","Major western-Sydney future load; strong coupling to grid capacity and industrial land.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/data-centres/brisbane-data-centres-colocation,2026-09,"1H26 release described 350MW; current operator page shows 365MW, so retain latest published figure with source date."
DC-NXT-S5,NEXTDC,S5,Macquarie Park,NSW,campus,design_town_planning,80,total_power_planned,,unknown,design_and_town_planning,"Future metro expansion node.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/data-centres/brisbane-data-centres-colocation,2026-09,
DC-NXT-S6,NEXTDC,S6,Artarmon,NSW,campus,operational_expanding,13.5,total_power_capacity,,unknown,"11MW in progress at 31 Dec 2025","Smaller expansion within established Artarmon compute cluster.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-NXT-S7,NEXTDC,S7,Eastern Creek,NSW,campus,planning,550,total_power_planned_minimum,,unknown,planning,"Very large western-Sydney future compute load; likely material to substation/transmission planning and land competition.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/data-centres/brisbane-data-centres-colocation,2026-09,"Published as 550+MW."
DC-NXT-M1,NEXTDC,M1,Port Melbourne,VIC,campus,operational_portfolio,16,total_power_capacity,,unknown,operational,"Established inner-Melbourne compute baseline.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/data-centres/brisbane-data-centres-colocation,2026-09,
DC-NXT-M2,NEXTDC,M2,Tullamarine,VIC,campus,operational_expanding,120,total_power_planned_minimum,,unknown,"30MW in progress at 31 Dec 2025","Large airport-adjacent compute/industry load with continuing expansion.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,"Published as 120+MW."
DC-NXT-M3,NEXTDC,M3,West Footscray,VIC,campus,operational_expanding,225,total_power_planned,,unknown,"185MW in progress at 31 Dec 2025","Very large western-Melbourne load concentration; important grid and industrial-land competitor.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-NXT-M4,NEXTDC,M4,Port Melbourne,VIC,campus,development_approved,150,total_power_planned,2.64,unknown,development_approval_obtained,"Further inner-Melbourne compute concentration.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-NXT-GE1,NEXTDC,GE1,Geelong,VIC,campus,operational_expanding,4,total_power_capacity,0.21,unknown,"1MW in progress at 31 Dec 2025","Small but strategically important regional compute foothold outside Melbourne.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-NXT-B1,NEXTDC,B1,Brisbane CBD,QLD,campus,operational_portfolio,2.25,total_power_capacity,,unknown,operational,"Existing Brisbane baseline.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/interconnectivity/international-networks,2026-09,
DC-NXT-B2,NEXTDC,B2,Fortitude Valley,QLD,campus,operational_expanding,12,total_power_capacity,,unknown,"2MW in progress at 31 Dec 2025","Brisbane metro expansion node.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-NXT-GC1,NEXTDC,GC1,Gold Coast,QLD,campus,planning,6,total_power_planned,,unknown,planning,"First explicit Gold Coast NEXTDC pipeline node; useful regional-service signal but modest relative to hyperscale campuses.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/interconnectivity/international-networks,2026-09,
DC-NXT-C1,NEXTDC,C1,Bruce,ACT,campus,operational_portfolio,4.4,total_power_capacity,,unknown,operational,"Existing Canberra sovereign/government compute ecosystem component.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/interconnectivity/international-networks,2026-09,
DC-NXT-SC1,NEXTDC,SC1,Maroochydore,QLD,campus,operational_portfolio,1,total_power_capacity,,unknown,operational,"Small Sunshine Coast digital-infrastructure anchor.",COMPUTE-NEXTDC-PORTFOLIO-2026,https://www.nextdc.com/interconnectivity/international-networks,2026-09,
DC-NXT-SC2,NEXTDC,SC2,Sunshine Coast,QLD,campus,development_pipeline,6,total_power_planned,,unknown,"1MW in progress at 31 Dec 2025","Regional expansion signal; potentially important when coupled to subsea/fibre connectivity.",COMPUTE-NEXTDC-1H26,https://www.nextdc.com/news/asx-release-1h26-record-results,2026-02-26,
DC-AT-SYD1,AirTrunk,SYD1,Sydney West,NSW,campus,operational_expanding,130,total_campus_capacity_minimum,7.4,"132kV diverse high-voltage feed",operational_and_expanding,"Large established western-Sydney hyperscale node.",COMPUTE-AIRTRUNK-AU-2026,https://airtrunk.com/location/syd1-sydney-west/,2026-09,"Published as 130+MW."
DC-AT-SYD2,AirTrunk,SYD2,Sydney North,NSW,campus,operational_expanding,120,total_campus_capacity_minimum,4.2,"132kV diverse high-voltage feed / dedicated 200MVA substation","Shell C under construction Apr 2026","Large current load with dedicated upstream infrastructure; evidence of compute-specific grid capital.",COMPUTE-AIRTRUNK-AU-2026,https://airtrunk.com/location/syd2-sydney-north/,2026-09,"Published as 120+MW; 2023 expansion source states dedicated 200MVA 132kV substation."
DC-AT-SYD3,AirTrunk,SYD3,Sydney West,NSW,campus,under_development,400,total_campus_capacity_minimum,8.3,"132kV diverse high-voltage feed",under_development,"One of the largest single future loads in Western Sydney; major competitor for power and serviced industrial land.",COMPUTE-AIRTRUNK-AU-2026,https://airtrunk.com/location/syd3-sydney-west/,2026-09,"Current campus page shows 400+MW; older announcements described 320+MW."
DC-AT-MEL1,AirTrunk,MEL1,Melbourne West,VIC,campus,operational_expanding,185,total_campus_capacity_minimum,8.8,"66kV diverse high-voltage feed",operational_and_expanding,"Large established western-Melbourne hyperscale node.",COMPUTE-AIRTRUNK-AU-2026,https://airtrunk.com/location/mel1-melbourne/,2026-09,"Published as 185+MW."
DC-AT-MEL2,AirTrunk,MEL2,Melbourne North-West,VIC,campus,announced_development,354,total_campus_capacity_minimum,8.07,"66kV diverse high-voltage feed",announced Dec 2025,"More than A$5b direct investment and 354+MW new load materially changes north-west Melbourne's future power geography.",COMPUTE-AIRTRUNK-MEL2-2025,https://airtrunk.com/airtrunk-expands-australian-platform-with-a-second-hyperscale-data-centre-campus-in-melbourne/,2025-12-24,"AirTrunk says MEL1+MEL2 deployable Melbourne capacity exceeds 630MW."
DC-CDC-EC,CDC Data Centres,Eastern Creek Campus,Eastern Creek,NSW,campus,operational_expanding,200,total_campus_capacity_minimum,,unknown,"EC1-EC4 operational; EC5-EC6 under construction","Large western-Sydney sovereign/critical infrastructure node with continuing expansion.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/sydney/,2026-09,"Published as over 200MW."
DC-CDC-MP,CDC Data Centres,Marsden Park Campus,Marsden Park,NSW,campus,under_construction,504,planned_ICT_capacity,,unknown,"early construction / six planned buildings","Major north-west Sydney future load; scale comparable with largest hyperscale projects and highly relevant to future grid planning.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/sydney/,2026-09,"CDC says 504MW planned with scalability toward 1GW."
DC-CDC-HUME1,CDC Data Centres,Hume Campus One,Hume,ACT,campus,operational,21,current_operating_capacity,,unknown,operational,"Established Canberra secure-compute anchor.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/canberra/,2026-09,
DC-CDC-HUME2,CDC Data Centres,Hume Campus Two,Hume,ACT,campus,operational,51,current_operating_capacity,,unknown,operational,"Established Canberra secure-compute anchor.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/canberra/,2026-09,
DC-CDC-FYSHWICK,CDC Data Centres,Fyshwick Campus,Fyshwick,ACT,campus,operational,45,current_operating_capacity,,unknown,operational,"Established Canberra secure-compute anchor.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/canberra/,2026-09,
DC-CDC-BEARD,CDC Data Centres,Beard Campus,Beard,ACT,campus,under_construction,39,total_capacity,,unknown,under_construction,"New Canberra capacity demonstrates continuing sovereign/critical-compute investment outside the three largest capitals.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/canberra/,2026-09,
DC-CDC-BROOKLYN,CDC Data Centres,Brooklyn Campus,Brooklyn,VIC,campus,operational_and_building,350,total_campus_capacity_minimum,,unknown,"BK1 operational; remaining facilities under construction","Large western-Melbourne digital-capital concentration; closed-loop cooling is relevant to water-demand interpretation.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/melbourne/,2026-09,"Published as over 350MW upon completion."
DC-CDC-LAVERTON,CDC Data Centres,Laverton Campus,Laverton,VIC,campus,under_construction,400,total_campus_capacity_minimum,,unknown,under_construction,"Another 400+MW western-Melbourne load; reinforces industrial/power competition and compute clustering.",COMPUTE-CDC-LOCATIONS-2026,https://cdc.com/locations/melbourne/,2026-09,"Current location page says over 400MW; 2025 groundbreaking announcement described first 150MW data campus stage."
DC-GMG-SYD01,Goodman,SYD01,Artarmon,NSW,campus,under_construction,90,secured_utility_power,1.4,unknown,"construction commenced Mar 2026; first phase Q2 2028","Shows scarcity value of secured power in northern Sydney; 90MW utility input supports 61MW IT capacity.",COMPUTE-GOODMAN-SYD01-2026,https://www.goodman.com/en/investor-centre/announcements-media/2026/syd01-construction,2026-03-02,"61MW IT capacity in five 12.2MW phases; do not treat 90MW and 61MW as additive."
DC-CDC-CONTRACT-555,CDC Data Centres,555MW contracted capacity portfolio,Multiple campuses,AU,portfolio_contract,contracted,555,customer_contracted_capacity,,not_applicable,"delivery across campuses under development in FY28-FY29","Demand-side evidence: contracted future load is already large enough to affect national grid/infrastructure planning, but it must not be double-counted as a separate physical campus.",COMPUTE-CDC-CONTRACT-2026,https://cdc.com/resources/news/cdc-signs-555mw-data-centre-contract-with-us-customer/,2026-05,"30-year contract; CDC says total contracted capacity exceeds 1GW."
