source_id,publisher,network,geography,source_title,source_date,source_url,data_available,machine_readable,veka_use,assurance_mode,status,notes
ENERGY-ESSENTIAL-DAPR-2025,Essential Energy,distribution,Regional NSW,Distribution Annual Planning Report and zone substation data,2025,https://www.essentialenergy.com.au/our-network/network-projects/zone-substation-reports,"zone substation names; historical half-hour load; DAPR limitations/capacity planning",yes,"regional load and capacity context; constraints; growth headroom evidence",source_family_inventory,ingestion_planned,"Historical load is raw and may contain gaps; do not infer guaranteed connection capability from apparent spare load."
ENERGY-AUSGRID-DTAPR-2025,Ausgrid,distribution/sub-transmission,Sydney Central Coast Hunter,2025 Distribution and Transmission Annual Planning Report,2025,https://www.ausgrid.com.au/about-us/regulation-and-compliance/network-planning/dtapr,"substation capacity and demand forecast; dual-function forecast; feeder forecast; retirement plans; system limitations; feeder capacity; mapping portal",yes,"zone/sub-transmission capacity; forecast block loads; retirements; constraints and augmentation",source_family_inventory,ingestion_planned,"Forecast demand is materially affected by data centres and other major block loads; preserve source scenario/PoE definitions."
ENERGY-ENDEAVOUR-DAPR-2025,Endeavour Energy,distribution/sub-transmission,Western Sydney Blue Mountains Illawarra South Coast,2025 DAPR / Rosetta data portal,2025,https://dapr.endeavourenergy.com.au/,"zone/transmission substations; BSPs; 132/66/33kV lines; RIT-D augmentation and retirement; network limitations; feeder overloads",partly,"growth-area capacity; data-centre/industrial demand; Aerotropolis enabling network",source_family_inventory,ingestion_started,"Interactive portal exposes asset and limitation layers; project/RIT-D pages provide authoritative capacity and timing evidence."
ENERGY-ENERGEX-DAPR-2025,Energex,distribution/sub-transmission,South East Queensland,Distribution Annual Planning Report / zone substation load data,2025-26,https://www.energex.com.au/our-network/network-data/zone-substation-load-data,"10 years historical zone-substation MW/MVA at 30-minute intervals; DAPR capacity/forecast/limitation appendices",yes,"SEQ substation load; capacity utilisation; constraint and augmentation evidence",source_family_inventory,ingestion_planned,"2025-26 load package published July 2026; raw metering may contain gaps/spikes and confidential substations may be withheld."
ENERGY-ERGON-DAPR-2025,Ergon Energy Network,distribution/sub-transmission,Regional Queensland,Distribution Annual Planning Report 2025,2025-12,https://www.ergon.com.au/network/about-us/company-reports,-plans-and-charters/distribution-annual-planning-report,"BSP/zone-substation forecasts and capacities; transmission connection forecasts; feeder forecasts; committed/proposed limitation solutions; constraint map",yes,"regional QLD capacity; local constraints; proposed/committed augmentations",source_family_inventory,ingestion_started,"DAPR covers 2025-26 to 2029-30. Capacity map is indicative, not a connection offer."
ENERGY-AUSNET-DAPR-2025,AusNet,distribution/sub-transmission,Eastern and northern Victoria,Distribution Annual Planning Report 2025-2029,2025,https://dapr.ausnetservices.com.au/,"zone-substation and sub-transmission limitations; committed/planned zone-substation developments; RIT-D; demand forecasts",partly,"Gippsland/north-Victoria capacity constraints; replacement and new-zone-substation signals",source_family_inventory,ingestion_started,"Current first-pass seed extracts high-consequence augmentation signals; full machine inventory still required."
ENERGY-POWERCOR-DAPR-2025,Powercor,distribution,Western Victoria,2025 Distribution Annual Planning Report,2025,https://www.powercor.com.au/network-information/network-data,"network visualisation; sub-transmission/zone/HV feeder constraints; zone-substation load traces; DAPR forecasts/projects",partly,"western Victorian capacity and constraint geography",source_family_inventory,ingestion_planned,"Visualisation portal requires account; published DAPR remains primary planning source."
ENERGY-CITIPOWER-DAPR-2025,CitiPower,distribution,Melbourne CBD and inner suburbs,2025 Distribution Annual Planning Report,2025,https://www.powercor.com.au/network-information/network-data,"DAPR forecasts; system limitations; projects; network visualisation",partly,"metropolitan comparison/counterfactual load and augmentation",source_family_inventory,ingestion_planned,"Lower regional priority than Powercor/AusNet but important for metro counterfactual."
ENERGY-UNITED-DAPR-2025,United Energy,distribution,South-east Melbourne and Mornington Peninsula,2025 Distribution Annual Planning Report,2025,https://www.unitedenergy.com.au/network-management/network-data,"DAPR; terminal-station demand forecasts; min/max demand tables; zone-substation historical load; system limitation maps",yes,"south-east Melbourne/Gippsland-edge capacity comparison and constraint geography",source_family_inventory,ingestion_planned,"Useful metro/peri-urban comparator; preserve augmentation vs N-1 risk distinctions."
ENERGY-JEMENA-DAPR-2025,Jemena Electricity Networks,distribution,North-west Melbourne,2025 Distribution Annual Planning Report and Digital DAPR Map,2025,https://www.jemena.com.au/electricity/jemena-electricity-network/network-information/network-planning/,"zone substations; sub-transmission; HV feeders; distribution substations; forecast loads/capacities; constraints; terminal-station demand forecasts",partly,"north-west Melbourne growth/load comparison; local capacity/constraint evidence",source_family_inventory,ingestion_planned,"Digital map is public and general in nature; do not convert forecast headroom into guaranteed connection capacity."
