zone_id,name,state,zone_type,current_interpretation,status,source_id,notes
EN-NSW-CWO,Central-West Orana,NSW,declared_REZ,"Declared NSW REZ; associated transmission delivery underway",,SRC-NSW-REZ-2026,"REZ declaration is a zone status, not an infrastructure-project delivery status. Central-West Orana transmission is separately evidenced as under construction in SRC-NSW-CWO-2026."
EN-NSW-NE,New England,NSW,declared_REZ,"Declared NSW REZ",,SRC-NSW-REZ-2026,"Do not infer transmission or generation-project delivery status from REZ declaration."
EN-NSW-HCC,Hunter-Central Coast,NSW,declared_REZ,"Declared NSW REZ",,SRC-NSW-REZ-2026,"Do not infer transmission or generation-project delivery status from REZ declaration."
EN-NSW-ILL,Illawarra,NSW,declared_REZ,"Declared NSW REZ",,SRC-NSW-REZ-2026,"Do not infer transmission or generation-project delivery status from REZ declaration."
EN-NSW-SW,South West,NSW,declared_REZ,"Declared NSW REZ",,SRC-NSW-REZ-2026,"Do not infer transmission or generation-project delivery status from REZ declaration."
EN-VIC-CH,Central Highlands,VIC,proposed_REZ,"Proposed in 2025 Victorian Transmission Plan",proposed,SRC-VIC-TRANS-2025,"Authoritative 2025 plan name. Do not merge with committed infrastructure."
EN-VIC-CN,Central North,VIC,proposed_REZ,"Proposed in 2025 Victorian Transmission Plan",proposed,SRC-VIC-TRANS-2025,"Authoritative 2025 plan name. Do not merge with committed infrastructure."
EN-VIC-GIP,Gippsland,VIC,proposed_REZ,"Proposed in 2025 Victorian Transmission Plan",proposed,SRC-VIC-TRANS-2025,"Authoritative 2025 plan name. Do not merge with committed infrastructure."
EN-VIC-NW,North West,VIC,proposed_REZ,"Proposed in 2025 Victorian Transmission Plan",proposed,SRC-VIC-TRANS-2025,"Authoritative 2025 plan name. Do not merge with committed infrastructure."
EN-VIC-SW,South West,VIC,proposed_REZ,"Proposed in 2025 Victorian Transmission Plan",proposed,SRC-VIC-TRANS-2025,"Authoritative 2025 plan name. Do not merge with committed infrastructure."
EN-VIC-W,Western,VIC,proposed_REZ,"Proposed in 2025 Victorian Transmission Plan",proposed,SRC-VIC-TRANS-2025,"Authoritative 2025 plan name. Do not merge with committed infrastructure."
EN-QLD-FNQ,Far North Queensland,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-FLINDERS,Flinders,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-COLLINSVILLE,Collinsville,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-ISAAC,Isaac,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-CAPRICORN,Capricorn,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-CALLIOPE,Calliope,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-CALLIDE,Callide,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-WOOLOOGA,Woolooga,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-DARLING-DOWNS,Darling Downs,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-TARONG,Tarong,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-WESTERN-DOWNS,Western Downs,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
EN-QLD-SOUTHERN-DOWNS,Southern Downs,QLD,legacy_potential_REZ,"Potential REZ in 2024 Roadmap; framework subsequently changed",historical_planning,SRC-QLD-REZ-2024,"Preserve as historical/planning evidence only; cross-reference SRC-QLD-ENERGY-AMEND-2025."
