region_id,region,jurisdiction,plan_horizon,current_or_base_population,future_population,additional_people,dwelling_requirement_or_target,spatial_intent,capital_implication,source_note,source_ids
GI-REG-HUNTER,Hunter,NSW,2041,860000,950000,90000,101800 additional dwellings,"sequenced planning and infrastructure; regional growth distributed through Hunter centres","current NSW baseline assumes large housing/service/infrastructure expansion inside Hunter system","Hunter Regional Plan 2041",SRC-GI-NSW-HUNTER-2041
GI-REG-CENTRALCOAST,Central Coast,NSW,2041,347500,404250,56750,32550 additional dwellings,"infrastructure-first urban development program; sequencing by servicing cost/capacity","explicitly ties location of growth to infrastructure cost and timing","Central Coast Regional Plan 2041",SRC-GI-NSW-CC-2041
GI-REG-CWO,Central West and Orana,NSW,2041,291073,324943,33870,21664 additional homes,"strengthen regional cities and strategic centres as interdependent network","growth capital expected to reinforce existing centre hierarchy but can be tested against VECA alternatives","Central West and Orana Regional Plan 2041",SRC-GI-NSW-CWO-2041
GI-REG-RIVERINA,Riverina Murray,NSW,2041,283300,,,,"regional cities Wagga Wagga Albury Griffith; cross-border planning important","service and transport investment should be evaluated as a NSW/Victoria functional region rather than state silos","Riverina Murray Regional Plan 2041",SRC-GI-NSW-RM-2041
GI-REG-NEWENGLAND,New England North West,NSW,2041,,,,"regional plan directs councils to identify suitable land and structure planned growth","current hierarchy and local zoning pipeline create policy momentum but remain materially redirectable","New England North West Regional Plan 2041",SRC-GI-NSW-NENW-2041
GI-REG-SEQ,South East Queensland,QLD,2046,3800000,6000000,2200000,863800 net additional dwellings from 2021 base,"minimum 60/40 consolidation-expansion moving toward 70/30; growth areas and future-growth areas reserved","very large growth-triggered infrastructure burden is already embedded in state planning assumptions","ShapingSEQ 2023",SRC-GI-QLD-SEQ-2023
GI-REG-TOOWOOMBA,Toowoomba urban extent,QLD,2046,,,,31300 additional dwellings from 2021 base,"Highfields/Westbrook growth plus Wellcamp/Westbrook PFGAs and West Toowoomba development area","important VECA case because state planning already preserves optionality around an inland regional centre","ShapingSEQ 2023",SRC-GI-QLD-SEQ-2023
GI-REG-VICSTATE,Victoria statewide,VIC,2050,,,,"statewide long-term plan covers Melbourne and regional cities; maps Ballarat Bendigo Geelong explicitly","new statewide framework may supersede or reinterpret older regional growth assumptions","Plan for Victoria",SRC-GI-VIC-PFV
GI-REG-HUME,Hume / NE Victoria,VIC,legacy regional plan,,,,"Wodonga Wangaratta Shepparton Seymour growth frameworks","older statutory strategic geography remains relevant but requires refresh against Plan for Victoria 2050","Hume Regional Growth Plan",SRC-GI-VIC-HUME-RGP
GI-REG-GIPPSLAND,Gippsland,VIC,legacy regional plan,,,,"frameworks for Latrobe Warragul-Drouin Sale Bairnsdale Wonthaggi etc","legacy growth intent intersects strongly with energy-transition geography and should not be treated as current forecast without refresh","Gippsland Regional Growth Plan",SRC-GI-VIC-GIPPSLAND-RGP
