system_id,system_name,jurisdiction,region,primary_sources,diversification,known_capacity_or_scale,augmentation_or_option,status,source_ids,notes
WAT-SEQ,South East Queensland Water Grid,QLD,SEQ,"multiple dams; desalination; recycled water; bulk grid","high","regional grid","Wyaralong connection planning; Gold Coast desalination expansion business case; Western Corridor PRW","existing_plus_planned","SRC-WATER-SEQ-SECURITY;SRC-WATER-SEQ-RECYCLED","Treat grid connectivity as a first-order inherited advantage; sustainable-yield comparison still required."
WAT-SYD,Greater Sydney supply system,NSW,Greater Sydney,"11 major supply dams; rivers; pipes; canals","high","Warragamba 2,064,680 ML; roughly 80% of Sydney drinking water via Prospect","separate future augmentation research required","existing","SRC-WATER-SYD-STORAGE","Large storage does not remove drought/climate dependence; desalination/recycling to be added separately."
WAT-CBR,Canberra-Queanbeyan system,ACT/NSW,Canberra-Queanbeyan,"Corin; Bendora; Cotter; Googong; Murrumbidgee transfer","high","~278 GL usable dam storage; Googong 119.4 GL; Cotter 76.2 GL usable","Murrumbidgee-to-Googong transfer already supplements system","existing","SRC-WATER-CBR-STORAGE;SRC-WATER-GOOGONG","Strong example of functional cross-border water system rather than jurisdiction-only analysis."
WAT-MELB,South-Central Water Grid,VIC,"Melbourne; Geelong; connected towns","catchment storages; Wonthaggi desalination; interconnected pipes/pumps","high","desalination up to 150 GL/year","government says up to additional 95 GL/year may be needed by 2030 beyond existing desalination capacity","existing_plus_planned","SRC-WATER-MELB-OUTLOOK;SRC-WATER-VIC-SECURITY;SRC-WATER-VIC-DESAL","Grid reaches beyond Melbourne to Geelong and parts of Gippsland; demonstrates regional value of bulk interconnection."
WAT-WAGGA,Riverina Water system,NSW,"Wagga Wagga and southern Riverina","Murrumbidgee River; groundwater borefields","medium_high","55 ML/day principal WTP","recent WTP capacity upgrade designed for growth to 2050","existing","SRC-WATER-WAGGA;SRC-WATER-WAGGA-WTP","Important distinction between regulated river availability, groundwater licences and urban treatment capacity."
WAT-ALBURY,Albury water system,NSW,Albury,"Murray River downstream of Hume; separate raw-water network","medium","two treatment plants up to 70 ML/day each","no major augmentation captured yet","existing","SRC-WATER-ALBURY","Potentially strong industrial-water inheritance because potable and raw-water networks are distinct."
WAT-GOULBURN,Goulburn water system,NSW,Southern Tablelands,"Pejar Dam; Sooley Dam; Rossi Weir","medium","Pejar 9000 ML; Sooley 6250 ML; Rossi 330 ML","additional transfer/security infrastructure requires separate research","existing","SRC-WATER-GOULBURN","Storage scale is far smaller than capital-city systems; yield and drought history need explicit comparison."
WAT-TOOWOOMBA,Toowoomba bulk water supply system,QLD,Toowoomba/Darling Downs,"Cressbrook; Perseverance; Cooby; groundwater bores; Wivenhoe transfer; Mt Kynoch WTP","high_for_regional_system","Cressbrook 81,842 ML; Perseverance 30,140 ML; Cooby 21,166 ML; bores ~20-30% of supply; Wivenhoe pipeline 14.2 GL/year current transfer capacity and 18 GL/year ultimate","Water Vision 2071 treatment/pumping/allocation upgrades; Four Communities connection; Toowoomba-Warwick pipeline; major/new source infrastructure required from mid-2040s","existing_plus_committed_and_long_term","SRC-WATER-TWB-SOURCES;SRC-WATER-TWB-VISION;SRC-WATER-TWB-BUDGET;SRC-WATER-TWB-WARWICK","Unusually diversified regional system with inter-basin transfer option, but Wivenhoe water requires substantial lift energy and Water Vision still identifies a new/major source requirement from mid-century. Storage volume must not be treated as secure yield."
WAT-LOWER-HUNTER,Lower Hunter water supply system,NSW,Newcastle/Lake Macquarie/Maitland/Lower Hunter,"Grahamstown and Chichester systems; rivers/sandbeds; groundwater; recycling; future permanent desalination; possible Upper Hunter connection","high_and_increasing","serves >630,000 people; Belmont desalination up to 30 ML/day (~15% average daily demand)","Belmont permanent desalination under construction; recycling expansion; potential Lostock/Glennies inter-regional connection investigated under 40-year security plan","existing_plus_under_construction_plus_options","SRC-WATER-HUNTER-SECURITY;SRC-WATER-HUNTER-DESAL","Belmont is a concrete rainfall-independent augmentation and major marine works were complete Aug 2026. Lower Hunter strategy explicitly responds to drought vulnerability, growth and climate uncertainty; future Upper Hunter connection remains an option rather than committed supply."
WAT-TAMWORTH,Tamworth-Kootingal-Moonbi water system,NSW,New England/Tamworth,"Chaffey Dam/Peel River; Dungowan Dam; groundwater; Calala WTP; Chaffey-Dungowan/Dungowan pipelines","medium","Council entitlements: Chaffey/Peel 16.4 GL/year; Dungowan 5.6 GL/year; Tamworth groundwater 1.055 GL/year; average reported use materially lower than entitlement","new Dungowan pipeline connections; Calala raw-water storage; operational/pumping upgrades; long-term security planning","existing_plus_active_augmentation","SRC-WATER-TAMWORTH-2026;SRC-WATER-TAMWORTH-ENTITLEMENTS","Two severe droughts in 20 years brought Tamworth close to supply failure despite substantial entitlements. Entitlement is not secure yield; this system needs future-climate/reliability modelling before being treated as scalable."
