source_id,title,publisher,source_type,url,publication_date,data_date,retrieved_date,geographic_coverage,project_status,ownership,reliability_authority,dollar_value,dollar_basis,notes
SRC-ABS-POP-2024,"Regional population by age and sex, 2024",Australian Bureau of Statistics,dataset,https://www.abs.gov.au/statistics/people/population/regional-population-age-and-sex/2024,2025-08-28,2024-06-30,2026-09-08,Australia,,not_applicable,"Primary national statistical source; SA2 estimates available as XLSX and geospatial web service",,,"Retained for demographic structure; not the preferred current total-population baseline."
SRC-ABS-REGPOP-2025,"Regional population, 2024-25",Australian Bureau of Statistics,dataset,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25,2026-03-31,2025-06-30,2026-09-08,Australia,,not_applicable,"Primary ABS regional ERP release",,,"Preferred current regional-population baseline. Includes SA2-and-above ERP 2001-2025, 2024-25 change/components, 1 km population grid and geospatial web services."
SRC-ABS-SA2-ERP-2025,"SA2 Regional Population 2025 Feature Service",Australian Bureau of Statistics,geospatial_web_service,https://geo.abs.gov.au/arcgis/rest/services/Hosted/SA2_Regional_Population_2025/FeatureServer/3,2026-03-31,2001-2025,2026-09-08,Australia,,not_applicable,"Primary ABS hosted feature layer; geometry and attributes in one service; ASGS Edition 3",,,"Contains SA2 codes/names, SA3/SA4/GCCSA hierarchy, ERP 2001-2025, 2024-25 change, area, density and migration components. Preferred first EXP-001 SA2 spatial source because values and polygons share one geography version."
SRC-ABS-POPGRID-2025,"Australian population grid 2025",Australian Bureau of Statistics,geospatial_raster,https://www.abs.gov.au/statistics/people/population/regional-population/2024-25,2026-03-31,2025-06-30,2026-09-08,Australia,,not_applicable,"Primary ABS 1 km population grid; GeoTIFF download available from Regional population release",,,"Use as fine-grained density representation alongside SA2 ERP. Grid is a derived spatial representation of ERP, not address-level population truth."
SRC-ABS-ASGS-2026,"ASGS Edition 4 digital boundary files",Australian Bureau of Statistics,dataset,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-4-july-2026-june-2031/access-and-downloads/digital-boundary-files,2026-07-22,2026,2026-09-08,Australia,,not_applicable,"Primary national geography standard; latest ASGS boundaries",,,"Do not transfer 2025 ERP to Edition 4 boundaries without explicit concordance. EXP-001 first population layer remains native to ASGS Edition 3."
SRC-IA-MCAP-2025,"2025 Infrastructure Market Capacity Report",Infrastructure Australia,report,https://www.infrastructureaustralia.gov.au/reports/2025-infrastructure-market-capacity-report,2025-11-13,2024-25 to 2028-29,2026-09-08,Australia,,public,"Primary national infrastructure pipeline analysis based on jurisdictional project data",242000000000,"AUD; five-year Major Public Infrastructure Pipeline; nominal/price basis not captured here","Useful for regional capital-demand context, not a settlement suitability proxy."
SRC-BITRE-YB-2025,"Australian Infrastructure and Transport Statistics—Yearbook 2025",BITRE,dataset,https://www.bitre.gov.au/resource/infrastructure/australian-infrastructure-and-transport-statistics-yearbook-2025,2025-12-12,2025,2026-09-08,Australia,,public,"Primary Commonwealth transport/infrastructure statistical compilation",,,"Covers freight, passengers, roads, rail, aviation, shipping, infrastructure construction and economy."
SRC-NFDH-2026,"National Freight Data Hub",Australian Government Department of Infrastructure,interactive_dataset,https://datahub.freightaustralia.gov.au/,,current,2026-09-08,Australia,,public,"Primary government freight data platform; some products combine operator and government data",,,"Includes freight-train maps, traffic counts, road condition/expenditure, congestion and freight performance."
SRC-QLD-CRR-2026,"Cross River Rail FAQs and current project status",Cross River Rail Delivery Authority,project_page,https://crossriverrail.qld.gov.au/about/frequently-asked-questions/,current,2026,2026-09-08,Brisbane / South East Queensland,under_construction,public,"Primary project authority; current cost and opening date",19041000000,"AUD; total cost to complete and associated works as announced Oct 2025","First passenger services expected 2029; major construction progressively through 2027."
SRC-INLAND-PROGRESS-2026,"Inland Rail project progress",Inland Rail / Australian Rail Track Corporation,project_page,https://inlandrail.com.au/progress/,current,2026,2026-09-08,"Victoria and New South Wales; corridor north of Parkes preserved for future delivery",under_construction,public,"Primary project delivery source",,,"Parkes–Narromine and Narrabri–North Star Phase 1 complete; Beveridge–Parkes delivery prioritised."
SRC-NSW-METROWEST-2026,"Metro West contracts open next phase of major works",NSW Government,ministerial_release,https://www.nsw.gov.au/ministerial-releases/metro-west-contracts-open-next-phase-of-major-works,2026-01-05,2026,2026-09-08,"Westmead to Sydney CBD",under_construction,public,"Primary state government source for signed delivery packages",11500000000,"AUD; combined value of four contracts, not total project cost","Do not treat $11.5b as total Metro West cost."
SRC-NSW-CWO-2026,"Central-West Orana REZ Transmission Project",EnergyCo NSW,project_page,https://www.energyco.nsw.gov.au/our-projects/central-west-orana-renewable-energy-zone/transmission-project,current,2026,2026-09-08,"Central-West Orana, NSW",under_construction,public,"Primary NSW infrastructure planner/project source",,,"Construction began June 2025; energisation targeted from 2028."
