metric_id,asset_or_system,asset_type,geography,period,metric,value,unit,source_url,confidence,notes
TR-MET-001,Australian domestic freight task,freight_system,Australia,2024-25,total_freight_task,786,billion_tonne_km,https://www.bitre.gov.au/publications/2025/australian-infrastructure-and-transport-statistics-yearbook-2025/freight,high,"BITRE estimate; all domestic modes."
TR-MET-002,Australian rail freight,rail,Australia,2024-25,freight_task,447,billion_tonne_km,https://www.bitre.gov.au/publications/2025/australian-infrastructure-and-transport-statistics-yearbook-2025/freight,high,"National context; heavily influenced by bulk resources and should not be interpreted as east-coast intermodal alone."
TR-MET-003,Australian road freight,road,Australia,2024-25,freight_task,253,billion_tonne_km,https://www.bitre.gov.au/publications/2025/australian-infrastructure-and-transport-statistics-yearbook-2025/freight,high,"National context."
TR-MET-004,NSW road freight,road,NSW,2024-25,freight_task,87.6,billion_tonne_km,https://www.bitre.gov.au/publications/2025/australian-infrastructure-and-transport-statistics-yearbook-2025/freight,high,"BITRE reports highest NSW road-freight task on record."
TR-MET-005,Melbourne metropolitan road freight,road,Melbourne,2024-25,metropolitan_freight_task,18.2,billion_tonne_km,https://www.bitre.gov.au/publications/2025/australian-infrastructure-and-transport-statistics-yearbook-2025/freight,high,"Largest metropolitan road-freight task reported by BITRE for 2024-25."
TR-MET-006,Sydney Airport,airport,Sydney,2025,domestic_RPT_passenger_movements,25.41,million_passenger_movements,https://www.bitre.gov.au/sites/default/files/documents/Domestic-Aviation-Activity-2025.pdf,high,"Domestic RPT only; international traffic separate."
TR-MET-007,Melbourne Airport,airport,Melbourne,2025,domestic_RPT_passenger_movements,24.59,million_passenger_movements,https://www.bitre.gov.au/sites/default/files/documents/Domestic-Aviation-Activity-2025.pdf,high,"Domestic RPT only."
TR-MET-008,Brisbane Airport,airport,Brisbane,2025,domestic_RPT_passenger_movements,17.59,million_passenger_movements,https://www.bitre.gov.au/sites/default/files/documents/Domestic-Aviation-Activity-2025.pdf,high,"Domestic RPT only."
TR-MET-009,Melbourne-Sydney,aviation_route,Melbourne-Sydney,2025,RPT_passengers,8.12,million_passengers,https://www.bitre.gov.au/sites/default/files/documents/Domestic-Aviation-Activity-2025.pdf,high,"Australia's busiest RPT route in 2025; highly relevant to HSR mode-substitution evidence."
TR-MET-010,Brisbane-Sydney,aviation_route,Brisbane-Sydney,2025,RPT_passengers,4.38,million_passengers,https://www.bitre.gov.au/sites/default/files/documents/Domestic-Aviation-Activity-2025.pdf,high,"HSR-relevant intercapital market."
TR-MET-011,Brisbane-Melbourne,aviation_route,Brisbane-Melbourne,2025,RPT_passengers,3.65,million_passengers,https://www.bitre.gov.au/sites/default/files/documents/Domestic-Aviation-Activity-2025.pdf,high,"Intercapital market."
TR-MET-012,Port of Brisbane,port,Brisbane,FY2025,container_throughput,1.62,million_TEU,https://www.portbris.com.au/w/strong-fy25-trade-through-port-of-brisbane,high,"Record FY25 container throughput."
TR-MET-013,Port of Brisbane,port,Brisbane,FY2025,total_trade_tonnage,34.9,million_tonnes,https://www.portbris.com.au/w/strong-fy25-trade-through-port-of-brisbane,high,"7.8% increase reported for FY25."
TR-MET-014,Port Botany,port,Sydney,FY2025,container_throughput,2.82,million_TEU,https://www.nswports.com.au/file-download/download/public/2749,high,"NSW Ports FY25 Sustainability Report."
TR-MET-015,NSW Ports Port Botany + Port Kembla,port_system,Sydney-Illawarra,FY2025,vessel_visits,2210,vessel_visits,https://www.nswports.com.au/file-download/download/public/2749,high,"Combined across Port Botany and Port Kembla."
TR-MET-016,Port of Melbourne,port,Melbourne,FY2025,container_throughput,3.39,million_TEU,https://www.portofmelbourne.com/about-us/trade-statistics/trade-performance/,high,"Australia's largest container port in FY25."
TR-MET-017,Port of Melbourne,port,Melbourne,FY2025,total_trade,113.6,million_revenue_tonnes,https://www.portofmelbourne.com/about-us/trade-statistics/trade-performance/,high,"Revenue tonnes differ from mass tonnes; keep unit explicit."
TR-MET-018,Port of Melbourne,port,Melbourne,FY2055,container_forecast,7.13,million_TEU,https://www.portofmelbourne.com/wp-content/uploads/PoM-2055-PDS-Edition-For-Publication.pdf,high,"Port's 2055 strategy forecast; assumes unconstrained port infrastructure, metropolitan industrial land and wider Victorian transport infrastructure. Scenario/forecast, not observed fact."
TR-MET-019,Major five Australian container ports,port_system,Australia,FY2025,container_throughput,9.1,million_TEU,https://www.bitre.gov.au/publications/2025/australian-infrastructure-and-transport-statistics-yearbook-2025/shipping,high,"Brisbane, Sydney, Melbourne, Fremantle and Adelaide combined."
TR-MET-020,NFDH freight-train movement product,rail_freight,ARTC/interstate emphasis,2022-12-01_to_2023-11-30,coverage_caveat,1,limitation,https://datahub.freightaustralia.gov.au/freight-train-interactive-maps,high,"Train count is representative for interstate network; commodity/intrastate coverage is incomplete and journeys must partially or completely use ARTC tracks."
