source_id,title,publisher,source_type,url,retrieved_date,coverage,authority,notes
SRC-WATER-SEQ-SECURITY,South East Queensland Water Security Program,Seqwater,system_plan,https://www.seqwater.com.au/water-security,2026-09-09,SEQ,primary,"Covers SEQ Water Grid operations, Wyaralong connection planning, Gold Coast desalination expansion business case and Western Corridor recycled-water use."
SRC-WATER-SEQ-RECYCLED,Recycled Water,Seqwater,project_page,https://www.seqwater.com.au/recycled-water,2026-09-09,SEQ,primary,"Western Corridor Recycled Water Scheme retained as drought-response and longer-term supply option."
SRC-WATER-SYD-STORAGE,Water storage / Greater Sydney system,WaterNSW,system_page,https://www.waternsw.com.au/water-services/water-storage,2026-09-09,Greater Sydney and NSW,primary,"Greater Sydney uses 11 major supply dams linked by rivers, pipes and canals; Warragamba capacity 2,064,680 ML and supplies roughly 80% of Sydney drinking water via Prospect WFP."
SRC-WATER-CBR-STORAGE,ACT-QBN water storage levels,Icon Water,system_page,https://www.iconwater.com.au/water-education/water-and-sewerage-system/dams/water-storage-levels,2026-09-09,Canberra-Queanbeyan,primary,"Total usable dam storage around 278 GL after enlarged Cotter; Murrumbidgee-to-Googong transfer supplements storage."
SRC-WATER-GOOGONG,Googong Dam,Icon Water,asset_page,https://www.iconwater.com.au/water-education/water-and-sewerage-system/dams/googong-dam,2026-09-09,Canberra-Queanbeyan,primary,"119.4 GL storage on Queanbeyan River; major ACT/QBN source."
SRC-WATER-MELB-OUTLOOK,Melbourne Water Outlook 2026,Melbourne Water,system_outlook,https://www.melbournewater.com.au/about/publications/water-outlook,2026-09-09,Greater Melbourne,primary,"Tracks storage, inflow, demand and desalination response; 2026 dry conditions triggered 150 GL desalination order."
SRC-WATER-VIC-SECURITY,Water Security Plan for Melbourne Geelong and connected towns,Victorian Government,system_plan,https://www.water.vic.gov.au/our-programs/water-monitoring-and-reporting/water-security-plan,2026-09-09,South-Central Victoria,primary,"South-Central Water Grid serves over 80% of Victoria; government says up to an additional 95 GL/year may be needed by 2030 beyond existing desalination capacity."
SRC-WATER-VIC-DESAL,Victorian desalination,Melbourne Water,asset_page,https://www.melbournewater.com.au/water-and-environment/water-management/water-quality/water-treatment/desalination,2026-09-09,Melbourne Geelong Gippsland,primary,"Wonthaggi plant up to 150 GL/year; 84 km two-way transfer pipeline into south-central grid."
SRC-WATER-WAGGA,Riverina Water supply system,Riverina Water,system_page,https://rwcc.nsw.gov.au/your-water/water-supply/yourwater/,2026-09-09,Southern Riverina,primary,"Wagga system combines Murrumbidgee River and multiple groundwater borefields; regulated river flows influenced by Burrinjuck and Blowering dams."
SRC-WATER-WAGGA-WTP,Wagga Wagga Water Treatment Plant,Riverina Water,asset_page,https://rwcc.nsw.gov.au/your-water/water-supply/wtp/,2026-09-09,Wagga Wagga region,primary,"55 ML/day treatment plant opened 2021; supports broader Riverina Water network and growth to 2050."
SRC-WATER-ALBURY,Albury water cycle,AlburyCity,system_page,https://www.alburycity.nsw.gov.au/services/water-and-sewer/alburys-water-cycle,2026-09-09,Albury,primary,"Murray River below Hume is source; two plants each up to 70 ML/day plus separate raw-water industrial network."
SRC-WATER-GOULBURN,Goulburn water supply services,Goulburn Mulwaree Council,system_page,https://www.goulburn.nsw.gov.au/Services/Water-Sewer/Water-Supply-Services,2026-09-09,Goulburn,primary,"Pejar 9,000 ML, Sooley 6,250 ML and Rossi Weir 330 ML are principal listed storages."
SRC-WATER-TWB-SOURCES,Where our water comes from,Toowoomba Regional Council,system_page,https://www.tr.qld.gov.au/Waste-and-water/Water-supply-and-dams/Water-sources-and-supply/Where-our-water-comes-from,2026-09-09,Toowoomba bulk water system,primary,"Cressbrook 81,842 ML, Cooby 21,166 ML, Perseverance 30,140 ML; 47 bore stations provide about 20-30%; Wivenhoe pipeline is 38 km and can transfer 14.2 GL/year with 18 GL/year ultimate capacity."
SRC-WATER-TWB-VISION,Water Vision 2071,Toowoomba Regional Council,system_plan,https://www.tr.qld.gov.au/Council/Council-governance/Water-Vision-2071,2026-09-09,Toowoomba Region,primary,"Long-horizon plan: treatment/pumping/allocation upgrades, four-community connection and new/major source infrastructure required from the mid-2040s."
SRC-WATER-TWB-BUDGET,2026-27 Annual Budget water capital,Toowoomba Regional Council,capital_program,https://www.tr.qld.gov.au/Council/Council-governance/2026-27-Annual-Budget,2026-09-09,Toowoomba Region,primary,"$81.4m Cressbrook Dam Safety Improvement in 2026-27 plus Perseverance raw main capacity renewal, Cooby inlet works, Greenmount/Four Communities and Highfields reservoir works."
SRC-WATER-TWB-WARWICK,Toowoomba to Warwick Pipeline,Seqwater,project_page,https://www.seqwater.com.au/project/toowoomba-warwick-pipeline,2026-09-09,Toowoomba/Southern Downs,primary,"Approx 111 km project with >$300m funding; staged March 2026, using Wivenhoe water through existing Toowoomba infrastructure; Stage 1 reaches Greenmount and four growing communities."
SRC-WATER-HUNTER-SECURITY,Lower Hunter Water Security Plan,Hunter Water,system_plan,https://www.hunterwater.com.au/water-and-environment/water-conservation/water-in-the-lower-hunter/lower-hunter-water-security-plan,2026-09-09,Lower Hunter,primary,"Diversified strategy includes conservation, recycling, desalination and potential Upper Hunter inter-regional connection; explicitly plans for climate/growth uncertainty."
SRC-WATER-HUNTER-DESAL,Belmont Desalination Plant,Hunter Water,project_page,https://www.hunterwater.com.au/about/community/projects-in-your-area/belmont-desalination-plant,2026-09-09,Lower Hunter,primary,"Permanent plant under construction; up to 30 ML/day rainfall-independent supply, about 15% of average daily regional demand; major marine works completed August 2026."
SRC-WATER-TAMWORTH-2026,Tamworth 2026 water security evidence,Tamworth Regional Council,council_plan,https://www.tamworth.nsw.gov.au/ArticleDocuments/474/Business%20Paper%20-%2028%20April%202026.pdf.aspx,2026-09-09,Tamworth/Kootingal/Moonbi,primary,"Current program includes new Dungowan Pipeline connection, Calala raw-water storage, Manilla pumping upgrade and smart metering; 2026 source confirms primary Chaffey plus Dungowan operating strategy."
SRC-WATER-TAMWORTH-ENTITLEMENTS,Tamworth water entitlements and drought context,Tamworth Regional Council,council_submission,https://www.tamworth.nsw.gov.au/ArticleDocuments/474/Annexures%20-%2028%20April%202026.pdf.aspx,2026-09-09,Tamworth Region,primary,"Tamworth entitlements listed as 16.4 GL/year Peel/Chaffey, 5.6 GL/year Dungowan and 1.055 GL/year groundwater; source notes two severe droughts in 20 years and near-runout risk."
SRC-WATER-ARMIDALE-SUPPLY,Water usage and supply,Armidale Regional Council,system_page,https://www.armidale.nsw.gov.au/Services/Water/Water-usage-and-supply,2026-09-09,Armidale/Guyra,primary,"Malpas main storage about 13 GL with stated expansion capability to 26 GL; Puddledock emergency storage; Guyra dams and groundwater program."
SRC-WATER-ARMIDALE-SECURITY,Regional Water Security Project,Armidale Regional Council,project_page,https://yoursay.armidale.nsw.gov.au/water-security-project,2026-09-09,Armidale/Uralla/New England,primary,"Stage 1 restores Oaky River Dam, builds 54 km transfer to Armidale WTP and extends supply to Uralla; Stage 2 raises Malpas after demand growth. Dry-year Armidale requirement stated as 4,480 ML/year."
