source_id,title,publisher,source_type,url,retrieved_date,coverage,authority,notes
SRC-IND-NSW-SAP,Special Activation Precincts,NSW Government,program_page,https://www.nsw.gov.au/regional-and-primary-industries/regional-business-and-economy-nsw/special-activation-precincts,2026-09-09,Regional NSW,primary,"Parkes and Wagga target freight/logistics, advanced manufacturing, agribusiness, renewable energy and recycling; planning complete and delivery underway."
SRC-IND-PARKES,Parkes Special Activation Precinct,NSW Government,precinct_page,https://www.nsw.gov.au/regional-and-primary-industries/regional-business-and-economy-nsw/special-activation-precincts/parkes-special-activation-precinct,2026-09-09,Parkes NSW,primary,"Serviced inland-port precinct at junction of Inland Rail and Trans-Australian railway; government states access to 80% of Australian population within 12 hours by road/rail."
SRC-IND-PARKES-INVEST,Parkes private investment announcement,NSW Government,ministerial_release,https://www.nsw.gov.au/ministerial-releases/65-million-investment-and-more-than-200-new-jobs-parkes,2026-09-09,Parkes NSW,primary,"Three companies planning $65m private investment; proposals not yet operating assets."
SRC-IND-WAGGA,Wagga Wagga Special Activation Precinct,NSW Government,precinct_page,https://www.nsw.gov.au/regional-and-primary-industries/regional-business-and-economy-nsw/special-activation-precincts/wagga-wagga-special-activation-precinct,2026-09-09,Wagga Wagga NSW,primary,"Includes established Bomen industrial estate and new RiFL intermodal facility; serviced industrial lots available."
SRC-IND-AEROTROPOLIS-2026,Western Sydney Aerotropolis investment update,NSW Government,ministerial_release,https://www.nsw.gov.au/ministerial-releases/western-sydney-aerotropolis-investment-takes-off,2026-09-09,Western Sydney,primary,"Private projects at various stages reported at $21.6b in Apr 2026; freight/logistics, advanced manufacturing, distribution and data centres prominent; >$28b public enabling cited."
SRC-IND-AEROTROPOLIS-ALDI,Aldi automated distribution centre approval,NSW Government,ministerial_release,https://www.nsw.gov.au/ministerial-releases/billion-dollar-distribution-centre-approval-a-first-for-aerotropolis,2026-09-09,Western Sydney Aerotropolis,primary,"$1b approved automated distribution centre beside Western Sydney Airport; expected 585 permanent jobs and heavy automation."
SRC-IND-BRADFIELD-2026,Major projects cementing Aerotropolis and Bradfield,NSW Government,ministerial_release,https://www.nsw.gov.au/ministerial-releases/new-bradfield-city-building-begins,2026-09-09,Bradfield / Aerotropolis,primary,"Second Bradfield building under construction; semiconductor advanced packaging facility plus approved $1b industrial estate."
PORT-BRIS-FY25,Strong FY25 trade through Port of Brisbane,Port of Brisbane Pty Ltd,operator_current,https://www.portbris.com.au/w/strong-fy25-trade-through-port-of-brisbane,2026-09-09,Port of Brisbane,primary,"FY25: 1.62m TEU; 34.9 Mt trade; $73.5b international cargo; ~200ha Future Port Expansion area."
PORT-BRIS-VISION2060,Port of Brisbane Vision 2060,Port of Brisbane Pty Ltd,operator_strategy,https://www.portbris.com.au/major-projects/vision-2060,2026-09-09,Queensland / Port of Brisbane,primary,"Projects ~5m+ TEU annually by 2060 and frames dedicated freight rail as major long-run supply-chain infrastructure."
PORT-NSW-BOTANY,Port Botany capabilities,NSW Ports,operator_current,https://www.nswports.com.au/port-botany,2026-09-09,Port Botany / NSW,primary,"Current 2.8m TEU scale, >7m TEU capacity, all three container terminals have on-dock rail, direct links to Sydney intermodal network."
