rail_signal_id,program_or_corridor,state_or_scope,record_type,status_at_source,investment_aud_m,route_length_km,train_length_m,capability_change,timing,veka_interpretation,source_id,source_url,source_date,notes
RAIL-NIP-H1,ARTC Network Investment Program Horizon 1,National / east-coast subset,program,funded_active,1040,,,"crossing loops; culverts; track rehabilitation/re-railing; signalling; sleepers; systems",2024-25 onward,"Large reinvestment in existing freight network; must separate capacity upgrades from resilience/replacement.",RAIL-ARTC-NIP-2026,https://proj.artc.com.au/network-investment-program/,2026,
RAIL-NIP-H2,ARTC Network Investment Program Horizon 2,National / east-coast subset,program,funded_program,1750,,,"further safety, resilience, capacity and productivity investment",six years from 2026,"Major future capital pool that can alter comparative value of inherited corridors; individual projects not yet all approved.",RAIL-ARTC-NIP-2026,https://proj.artc.com.au/network-investment-program/,2026,"Project details subject to business-case approval."
RAIL-NIP-ALBURY-SYDNEY,Albury to Sydney corridor,NSW,corridor_program,H1_active_and_H2_named,,,,"H1 track rehabilitation/culvert work; H2 corridor explicitly named for further investment",2024 onward,"Existing Melbourne-Sydney spine is receiving substantial conventional-rail reinvestment independent of HSR.",RAIL-ARTC-NIP-H1-2026,https://proj.artc.com.au/network-investment-program/project-overview/,2026,
RAIL-NIP-MELB-ALBURY,Melbourne to Albury corridor,VIC,corridor_program,H2_named,,,,"future NIP investment corridor",six-year H2 horizon,"Strengthens the inherited interstate spine and interacts with Inland Rail double-stack works.",RAIL-ARTC-NIP-2026,https://proj.artc.com.au/network-investment-program/frequently-asked-questions-faqs/,2026,"Specific Horizon 2 projects still subject to business cases."
RAIL-NIP-TELARAH-ACACIA,Telarah to Acacia Ridge corridor,NSW/QLD,corridor_program,H2_named,,,,"future NIP investment corridor",six-year H2 horizon,"Existing coastal freight route remains an active investment corridor even while Inland Rail north of Parkes is preserved rather than built.",RAIL-ARTC-NIP-2026,https://proj.artc.com.au/network-investment-program/frequently-asked-questions-faqs/,2026,"Specific Horizon 2 projects still subject to business cases."
RAIL-SHOO-WERAI,Werai overtaking opportunity,NSW Southern Highlands,capacity_project,under_construction,60,,1800,"new overtaking opportunity/crossovers allowing long freight trains to be passed by faster services",early 2027,"Direct response to mixed passenger/freight congestion on the busiest ARTC corridor outside Hunter Valley.",RAIL-ARTC-SHOO-2026,https://www.artc.com.au/projects/,2026,"$60m overall project includes Werai and Joppa Junction; investment not allocated per site."
RAIL-SHOO-JOPPA,Joppa Junction overtaking opportunity,NSW near Goulburn,capacity_project,under_construction,,,1800,"new overtaking opportunity/crossovers allowing long freight trains to be passed by faster services",early 2027,"Improves timetable flexibility and freight/passenger coexistence without constructing a new intercity corridor.",RAIL-ARTC-SHOO-2026,https://www.artc.com.au/projects/,2026,
IR-B2A,Beveridge to Albury,VIC,inland_rail_section,in_progress,,262,,"enhancements at 12 sites for double-stacked train clearance","10 of 12 sites major construction complete; remaining two in progress Sep 2026","Primarily upgrades existing track; creates higher-capacity freight capability along an inherited corridor.",RAIL-INLAND-PROGRESS-2026,https://inlandrail.com.au/progress/,2026-09,
IR-A2I,Albury to Illabo,NSW,inland_rail_section,in_progress,,185,,"enhancement/modification at 20 sites for double-stacked freight clearance",construction in progress Sep 2026,"Existing corridor being altered for double-stack freight; relevant to Wagga/Albury network optionality.",RAIL-INLAND-ROUTE-2026,https://inlandrail.com.au/where-we-go/,2026,
IR-I2S,Illabo to Stockinbingal,NSW,inland_rail_section,in_progress,,42,,"39km new track + 3km upgraded track; bypasses Bethungra Spiral",construction begun 2026,"One of the clearest new-link capacity interventions; short greenfield connection changes route geometry materially.",RAIL-INLAND-ROUTE-2026,https://inlandrail.com.au/where-we-go/,2026,
