asset_id,region,asset_name,asset_type,jurisdiction,current_role,status,reported_value_aud,spatial_lock_in,optionality_class,veca_interpretation,source_url
EDU-CC-001,Central Coast,University of Newcastle Gosford Central,university,NSW,CBD higher-education anchor,recently_completed,67300000,high,fixed_inheritance,"New CBD university investment adds durable knowledge-sector gravity to Gosford and complements the hospital/clinical precinct.",https://www.newcastle.edu.au/engage/development-projects/completed-projects/2026/central-coast-campus
EDU-CC-002,Central Coast,University of Newcastle Ourimbah campus,university,NSW,Established regional university campus,existing,,high,fixed_inheritance,"Ourimbah creates a second tertiary anchor and helps make the Central Coast a distributed education system rather than a single-campus city.",https://www.newcastle.edu.au/campus-life/central-coast/ourimbah
EDU-CC-003,Central Coast,TAFE NSW Gosford Ourimbah and Wyong campuses,tafe,NSW,Distributed vocational training network,committed_upgrade,38300000,medium,planned_capital,"Vocational investment reinforces Gosford-Ourimbah-Wyong as a skills corridor and should be evaluated alongside housing and employment growth nodes.",https://www.nsw.gov.au/ministerial-releases/383-million-investment-to-future-proof-tafe-nsw-skills-training-on-central-coast
EDU-NE-001,New England,University of New England Armidale,university,NSW,Major regional university and research anchor,existing,,high,fixed_inheritance,"UNE gives Armidale institutional depth far beyond its population size and is a major potential anchor for larger knowledge-intensive settlement.",https://www.une.edu.au/
EDU-NE-002,New England,UNE Tamworth Central,university,NSW,New CBD higher-education campus,under_construction,26600000,high,committed_capital,"Extends university capability into Tamworth and strengthens the Armidale-Tamworth complementary-centres model.",https://www.une.edu.au/about-une/news-and-events/news/2026/03/une-tamworth-central-campus-project-marks-start-of-construction
EDU-NE-003,New England,TAFE NSW Armidale,tafe,NSW,Regional vocational education campus,existing,,high,fixed_inheritance,"Adds trades and vocational capability to Armidale's university-led education base; relevant to construction and service-workforce scalability.",https://www.tafensw.edu.au/locations/armidale
EDU-NE-004,New England,TAFE NSW Tamworth,tafe,NSW,Regional vocational education campus,existing,,high,fixed_inheritance,"Complements Tamworth's health aviation and service economy with vocational workforce formation.",https://www.tafensw.edu.au/locations/tamworth
EDU-ACT-001,Canberra,Australian National University,university,Commonwealth/ACT,National research-intensive university anchor,existing,,very_high,fixed_inheritance,"ANU is a nationally significant knowledge institution and a major component of Canberra's unusually strong human-capital inheritance.",https://www.anu.edu.au/
EDU-ACT-002,Canberra,University of Canberra Bruce campus,university,ACT,Major university and health/sport education anchor,existing,,high,fixed_inheritance,"Bruce combines university health sport and institutional assets into a northern Canberra anchor cluster.",https://www.canberra.edu.au/
EDU-ACT-003,Canberra,Canberra Institute of Technology Woden campus,tafe_vet,ACT,New major vocational education campus,recently_completed,,high,fixed_inheritance,"Relocating major vocational education into Woden strengthens the town centre's role as a health-education-employment anchor rather than only a retail centre.",https://www.cit.edu.au/
EDU-RIV-001,Wagga/Albury,Charles Sturt University Wagga Wagga campus,university,NSW,Major inland university campus,existing,,high,fixed_inheritance,"Agriculture veterinary science education research and professional training make CSU a substantial Wagga anchor with potential to support much greater city scale.",https://study.csu.edu.au/why-charles-sturt/locations/campuses/wagga-wagga
EDU-RIV-002,Wagga/Albury,Charles Sturt University Albury-Wodonga campus,university,NSW/VIC,Cross-border university campus,existing,,high,fixed_inheritance,"Adds higher education to Albury-Wodonga's cross-border health and logistics cluster and strengthens its capacity as a larger integrated regional city.",https://study.csu.edu.au/why-charles-sturt/locations/campuses/albury-wodonga
EDU-RIV-003,Wagga/Albury,TAFE NSW Wagga Wagga,tafe,NSW,Major Riverina vocational hub,existing,,high,fixed_inheritance,"Large vocational campus adds scalable trades health and service workforce capability.",https://www.tafensw.edu.au/locations/wagga-wagga
EDU-RIV-004,Wagga/Albury,TAFE NSW Albury,tafe,NSW,Border vocational hub,existing,,high,fixed_inheritance,"Purpose-built trades and health training strengthens the cross-border labour market.",https://www.tafensw.edu.au/locations/albury
EDU-GIP-001,Gippsland,Federation University Gippsland campus,university,VIC,Regional university and workforce anchor,existing,,high,fixed_inheritance,"The Churchill campus forms part of a broader Latrobe Valley health-education-industry cluster and is strategically more important than its raw enrolment count alone.",https://federation.edu.au/about-us/our-campuses/gippsland-campus
EDU-GIP-002,Gippsland,TAFE Gippsland network,tafe,VIC,Distributed vocational and trade training network,existing,,medium,fixed_inheritance,"Multiple campuses allow vocational training to follow Gippsland's dispersed settlement and industrial transition; future analysis should distinguish specialist capability by campus.",https://www.tafegippsland.edu.au/
EDU-SEQ-001,SEQ,University of Southern Queensland Toowoomba,university,QLD,Major Darling Downs university anchor,existing,,high,fixed_inheritance,"UniSQ provides Toowoomba with established higher-education and research capacity relevant to agriculture engineering health and regional growth.",https://www.unisq.edu.au/about-unisq/locations/toowoomba
EDU-SEQ-002,SEQ,UniSQ Ipswich,university,QLD,Western SEQ university and health-education anchor,existing,,high,fixed_inheritance,"ShapingSEQ treats the Ipswich health-university precinct as strategic growth infrastructure, directly linking tertiary capacity to settlement expansion.",https://www.unisq.edu.au/about-unisq/locations/ipswich
EDU-SEQ-003,SEQ,TAFE Queensland Toowoomba campus,tafe,QLD,Darling Downs vocational and trades anchor,existing,,high,fixed_inheritance,"Provides a major skilled-workforce platform that can be tested against future construction manufacturing energy and service demand.",https://tafeqld.edu.au/courses/study-locations/darling-downs-south-west/toowoomba
EDU-SEQ-004,SEQ,TAFE Queensland Ipswich campuses,tafe,QLD,Western SEQ vocational training network,existing,,medium,fixed_inheritance,"Vocational capacity complements Ipswich's hospital-university-growth-area cluster and should be treated as part of the same labour-market system.",https://tafeqld.edu.au/courses/study-locations/greater-brisbane/ipswich
